[2231] Females, as a share of private paid employees | pub=World Bank | cols: country, date, value, indicator
[2297] Individuals with tertiary Education as a share of public paid employees, by occupation: Teachers | pub=World Bank | cols: country, date, value, indicator
[2298] Individuals with tertiary education as a share of public paid employees | pub=World Bank | cols: country, date, value, indicator
[2299] Share of public paid employees with union membership | pub=World Bank | cols: country, date, value, indicator
[2300] Number of paid employees | pub=World Bank | cols: country, date, value, indicator
[2301] Number of paid employees, by industry: Core Public Administration | pub=World Bank | cols: country, date, value, indicator
[2302] Number of paid employees, by industry: Education | pub=World Bank | cols: country, date, value, indicator
[2303] Number of paid employees, by industry: Health | pub=World Bank | cols: country, date, value, indicator
[2304] Number of paid employees, by occupation: Medical workers | pub=World Bank | cols: country, date, value, indicator
[2305] Number of paid employees, by industry: Public Administration | pub=World Bank | cols: country, date, value, indicator
[2306] Number of paid employees, by industry: Public Safety | pub=World Bank | cols: country, date, value, indicator
[2307] Number of paid employees, by industry: Social Security | pub=World Bank | cols: country, date, value, indicator
[2308] Number of paid employees, by occupation: Teachers | pub=World Bank | cols: country, date, value, indicator
[2309] Pay compression ratio in public sector, by occupation: Government economist (clerk as reference) | pub=World Bank | cols: country, date, value, indicator
[2310] Pay compression ratio in public sector, by occupation: Hospital doctor (clerk as reference) | pub=World Bank | cols: country, date, value, indicator
[2311] Pay compression ratio in public sector, by occupation: Hospital nurse (clerk as reference) | pub=World Bank | cols: country, date, value, indicator
[2312] Pay compression ratio in public sector, by occupation: Judge (clerk as reference) | pub=World Bank | cols: country, date, value, indicator
[2313] Pay compression ratio in public sector, by occupation: Police officer (clerk as reference) | pub=World Bank | cols: country, date, value, indicator
[2314] Pay compression ratio in public sector, by occupation: Primary school teacher (clerk as reference) | pub=World Bank | cols: country, date, value, indicator
[2315] Pay compression ratio in public sector, by occupation: Senior officials (clerk as reference) | pub=World Bank | cols: country, date, value, indicator
[2316] Pay compression ratio in public sector, by occupation: Secondary school teacher (clerk as reference) | pub=World Bank | cols: country, date, value, indicator
[2317] Pay compression ratio in public sector, by occupation: University teacher (clerk as reference) | pub=World Bank | cols: country, date, value, indicator
[2318] Pay compression ratio in public sector (ratio of 90th/10th percentile earners) | pub=World Bank | cols: country, date, value, indicator
[2319] Pay compression ratio in private sector (ratio of 90th/10th percentile earners) | pub=World Bank | cols: country, date, value, indicator
[2320] Public sector wage premium, by industry: Education (compared to formal wage employees) | pub=World Bank | cols: country, date, value, indicator
[2321] Public sector wage premium, by industry: Education (compared to all private employees) | pub=World Bank | cols: country, date, value, indicator
[2322] Public sector wage premium for females, by industry: Education (compared to paid wage employees) | pub=World Bank | cols: country, date, value, indicator
[2323] Public sector wage premium for females, by industry: Health (compared to paid wage employees) | pub=World Bank | cols: country, date, value, indicator
[2324] Public sector wage premium for females, by occupation: Medical workers (compared to paid wage employ | pub=World Bank | cols: country, date, value, indicator
[2325] Public sector wage premium for females, by occupation: Teachers (compared to paid wage employees) | pub=World Bank | cols: country, date, value, indicator
[2326] Public sector wage premium, by industry: Health (compared to formal wage employees) | pub=World Bank | cols: country, date, value, indicator
[2327] Public sector wage premium, by industry: Health (compared to all private employees) | pub=World Bank | cols: country, date, value, indicator
[2328] Public sector wage premium for males, by industry: Education (compared to paid wage employees) | pub=World Bank | cols: country, date, value, indicator
[2329] Public sector wage premium for males, by industry: Health (compared to paid wage employees) | pub=World Bank | cols: country, date, value, indicator
[2330] Public sector wage premium for males, by occupation: Medical workers (compared to paid wage employee | pub=World Bank | cols: country, date, value, indicator
