[1065] Off-premise sales restrictions on places | pub=WHO | desc: Off-premise sales restrictions on places | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1097] Off-premise sales restrictions on places | pub=WHO | desc: Off-premise sales restrictions on places | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1098] Off-premise sales restrictions on outlet density | pub=WHO | desc: Off-premise sales restrictions on outlet density | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1099] Off-premise sales restrictions at specific events | pub=WHO | desc: Off-premise sales restrictions at specific events | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1100] Off-premise sales restrictions at petrol stations | pub=WHO | desc: Off-premise sales restrictions at petrol stations | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1101] On-premise sales restrictions on days | pub=WHO | desc: On-premise sales restrictions on days | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1102] On-premise sales restrictions on days | pub=WHO | desc: On-premise sales restrictions on days | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1103] On-premise sales restrictions on hours | pub=WHO | desc: On-premise sales restrictions on hours | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1104] On-premise sales restrictions on places | pub=WHO | desc: On-premise sales restrictions on places | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1107] Government monopoly on production | pub=WHO | desc: Government monopoly on production | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1108] Government monopoly on retail sales | pub=WHO | desc: Government monopoly on retail sales | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1109] Licence required for production | pub=WHO | desc: Licence required for production | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1110] Excise duty (average) per hectolitre in Euros | pub=WHO | desc: Excise duty (average) per hectolitre in Euros | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1113] strategy refers to the use of ICT to support UHC | pub=WHO | desc: strategy refers to the use of ICT to support UHC | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1115] Proportion of private funding | pub=WHO | desc: Proportion of private funding | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1118] Duty paid or excise stamp on alcohol container | pub=WHO | desc: Duty paid or excise stamp on alcohol container | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1119] Annual tax revenues - total revenues | pub=WHO | desc: Annual tax revenues - total revenues | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1120] Population | pub=WHO | desc: Population | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1121] Estimated number of road traffic deaths | pub=WHO | desc: Estimated number of road traffic deaths | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1122] Promoting standards and interoperability | pub=WHO | desc: Promoting standards and interoperability | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1123] Promoting the development and adoption of mHealth | pub=WHO | desc: Promoting the development and adoption of mHealth | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1128] Attribution of road traffic deaths to alcohol (%) | pub=WHO | desc: Attribution of road traffic deaths to alcohol (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1129] Existence of national speed limits | pub=WHO | desc: Existence of national speed limits | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1130] Maximum speed limits | pub=WHO | desc: Maximum speed limits | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1131] Existence of a road safety lead agency | pub=WHO | desc: Existence of a road safety lead agency | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1132] Existence of a formal pre-hospital care system | pub=WHO | desc: Existence of a formal pre-hospital care system | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1133] Vehicle standards | pub=WHO | desc: Vehicle standards | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1134] Government monopoly on retail sales | pub=WHO | desc: Government monopoly on retail sales | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1135] Licence required for retail sales | pub=WHO | desc: Licence required for retail sales | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1141] Adopted written national policy on alcohol | pub=WHO | desc: Adopted written national policy on alcohol | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1142] Alcohol use is banned | pub=WHO | desc: Alcohol use is banned | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1143] National legislation to prevent illegal alcohol | pub=WHO | desc: National legislation to prevent illegal alcohol | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1144] Advertising restrictions on national television | pub=WHO | desc: Advertising restrictions on national television | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1145] Advertising restrictions on national television | pub=WHO | desc: Advertising restrictions on national television | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1146] Government monopoly on production | pub=WHO | desc: Government monopoly on production | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1147] Licence required for production | pub=WHO | desc: Licence required for production | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1150] Existence of a national drink-driving law | pub=WHO | desc: Existence of a national drink-driving law | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1151] Definition of drink-driving by BAC | pub=WHO | desc: Definition of drink-driving by BAC | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1153] Existence of a national road safety strategy | pub=WHO | desc: Existence of a national road safety strategy | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1161] Substance use policy at the national level | pub=WHO | desc: Substance use policy at the national level | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1164] Budget line for substance use disorder treatment | pub=WHO | desc: Budget line for substance use disorder treatment | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1168] Excise duty (average) per hectolitre in Euros | pub=WHO | desc: Excise duty (average) per hectolitre in Euros | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1170] Value-added tax (VAT) on alcohol (%) | pub=WHO | desc: Value-added tax (VAT) on alcohol (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1171] Drug courts | pub=WHO | desc: Drug courts | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1176] Health warning labels on alcohol advertising | pub=WHO | desc: Health warning labels on alcohol advertising | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1177] Health warning labels on alcohol advertising | pub=WHO | desc: Health warning labels on alcohol advertising | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1178] Health warning labels on alcohol containers | pub=WHO | desc: Health warning labels on alcohol containers | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1179] Standard drink measures, in grams per unit | pub=WHO | desc: Standard drink measures, in grams per unit | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1180] Monitoring | pub=WHO | desc: Monitoring | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1181] Sales of beer in 1000s hectolitres | pub=WHO | desc: Sales of beer in 1000s hectolitres | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1184] Legislative provision for compulsory treatment | pub=WHO | desc: Legislative provision for compulsory treatment | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1186] Advertising restrictions on national radio | pub=WHO | desc: Advertising restrictions on national radio | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1187] Advertising restrictions on billboards | pub=WHO | desc: Advertising restrictions on billboards | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1188] Advertising restrictions at point-of-sale | pub=WHO | desc: Advertising restrictions at point-of-sale | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1190] Existence of any national radon activity | pub=WHO | desc: Existence of any national radon activity | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1191] Existence of national radon survey(s) | pub=WHO | desc: Existence of national radon survey(s) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1192] Existence of national radon action plan | pub=WHO | desc: Existence of national radon action plan | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1193] Radon in building regulations for new buildings | pub=WHO | desc: Radon in building regulations for new buildings | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1195] Capacity | pub=WHO | desc: Capacity | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1197] Reducing cost of delivering content | pub=WHO | desc: Reducing cost of delivering content | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1199] Lack of capacity | pub=WHO | desc: Lack of capacity | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1200] Lack of suitable courses available | pub=WHO | desc: Lack of suitable courses available | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1204] Duty paid or excise stamp on alcohol container | pub=WHO | desc: Duty paid or excise stamp on alcohol container | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1205] Random breath testing (RBT) use | pub=WHO | desc: Random breath testing (RBT) use | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1206] Prices for alcoholic beverages (average, US$) | pub=WHO | desc: Prices for alcoholic beverages (average, US$) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1207] Off-premise sales restrictions on hours | pub=WHO | desc: Off-premise sales restrictions on hours | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1208] Off-premise sales restrictions on outlet density | pub=WHO | desc: Off-premise sales restrictions on outlet density | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1209] Off-premise sales restrictions at specific events | pub=WHO | desc: Off-premise sales restrictions at specific events | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1210] Perceived trend in sales | pub=WHO | desc: Perceived trend in sales | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1212] Lack of evidence over cost-effectiveness | pub=WHO | desc: Lack of evidence over cost-effectiveness | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1222] Main sector for treatment for drug use disorders | pub=WHO | desc: Main sector for treatment for drug use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1224] Sector for inpatient treatment of drug dependence | pub=WHO | desc: Sector for inpatient treatment of drug dependence | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1227] Excise tax on alcoholic beverages | pub=WHO | desc: Excise tax on alcoholic beverages | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1228] Restrictions on alcohol use in public places | pub=WHO | desc: Restrictions on alcohol use in public places | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1229] Standard drink measures, in grams per unit | pub=WHO | desc: Standard drink measures, in grams per unit | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1230] Interventions, projects, training | pub=WHO | desc: Interventions, projects, training | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1231] Treatment, services | pub=WHO | desc: Treatment, services | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1232] Counselling | pub=WHO | desc: Counselling | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1233] Imports in 1000s hectolitres | pub=WHO | desc: Imports in 1000s hectolitres | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1234] Exports of beer (barley) in 1000s hectolitres | pub=WHO | desc: Exports of beer (barley) in 1000s hectolitres | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1235] Perceived trend in exports | pub=WHO | desc: Perceived trend in exports | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1236] Exports of wine (grape) in 1000s hectolitres | pub=WHO | desc: Exports of wine (grape) in 1000s hectolitres | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1237] Exports of spirits in 1000s hectolitres | pub=WHO | desc: Exports of spirits in 1000s hectolitres | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1239] Lack of funding | pub=WHO | desc: Lack of funding | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1240] Lack of evidence that eLearning is effective | pub=WHO | desc: Lack of evidence that eLearning is effective | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
