[527] Compliance of ban on advertising at point of sale | pub=WHO | desc: Compliance of ban on advertising at point of sale | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[628] Malaria incidence per 100 000 population | pub=WHO | desc: Malaria incidence per 100 000 population | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[629] Adolescent birth rate (per 1000 women) | pub=WHO | desc: Adolescent birth rate (per 1000 women) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[633] Tuberculosis treatment success under DOTS (%) | pub=WHO | desc: Tuberculosis treatment success under DOTS (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[634] Maternal mortality ratio (per 100 000 live births) | pub=WHO | desc: Maternal mortality ratio (per 100 000 live births) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[636] Total number of published dementia research output | pub=WHO | desc: Total number of published dementia research output | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[641] Existence of dementia sub-national plan(s) | pub=WHO | desc: Existence of dementia sub-national plan(s) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[646] Offering help to quit tobacco use | pub=WHO | desc: Offering help to quit tobacco use | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[653] Nicotine replacement therapy - legally sold | pub=WHO | desc: Nicotine replacement therapy - legally sold | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[654] Access to a toll-free quit line | pub=WHO | desc: Access to a toll-free quit line | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[655] Varenicline - cost covered | pub=WHO | desc: Varenicline - cost covered | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[656] Varenicline - legally sold | pub=WHO | desc: Varenicline - legally sold | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[657] Bupropion - legally sold | pub=WHO | desc: Bupropion - legally sold | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[659] Nicotine replacement therapy - place available | pub=WHO | desc: Nicotine replacement therapy - place available | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[662] Alcohol, abstainers lifetime (%) | pub=WHO | desc: Alcohol, abstainers lifetime (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[663] Alcohol, abstainers past 12 months (%) | pub=WHO | desc: Alcohol, abstainers past 12 months (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[665] Alcohol, former drinkers (%) | pub=WHO | desc: Alcohol, former drinkers (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[666] Alcohol, patterns of drinking score | pub=WHO | desc: Alcohol, patterns of drinking score | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[667] Alcohol, patterns of drinking score | pub=WHO | desc: Alcohol, patterns of drinking score | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[670] Nicotine replacement therapy - cost covered | pub=WHO | desc: Nicotine replacement therapy - cost covered | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[671] Varenicline - place available | pub=WHO | desc: Varenicline - place available | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[685] Alcohol, consumers past 12 months (%) | pub=WHO | desc: Alcohol, consumers past 12 months (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[686] Number of neurologists (per 100,000) | pub=WHO | desc: Number of neurologists (per 100,000) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[691] Age-standardized DALYs, falls, per 100,000 | pub=WHO | desc: Age-standardized DALYs, falls, per 100,000 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[694] Alcohol, abstainers lifetime (%), age-standardized | pub=WHO | desc: Alcohol, abstainers lifetime (%), age-standardized | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[695] Abstainers (15-19 years), lifetime (%) | pub=WHO | desc: Abstainers (15-19 years), lifetime (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[700] Abstainers (15-19 years), past 12 months (%) | pub=WHO | desc: Abstainers (15-19 years), past 12 months (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[705] Leprosy - Number of cases registered for treatment | pub=WHO | desc: Leprosy - Number of cases registered for treatment | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[709] Practice of backyard pig production | pub=WHO | desc: Practice of backyard pig production | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[710] Number of cases of yaws reported | pub=WHO | desc: Number of cases of yaws reported | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[712] Children aged <5 years wasted for age (%) | pub=WHO | desc: Children aged <5 years wasted for age (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[713] Essential list of medicines | pub=WHO | desc: Essential list of medicines | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[715] Budget line for substance use disorder prevention | pub=WHO | desc: Budget line for substance use disorder prevention | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[719] Postgraduate training programme in prevention | pub=WHO | desc: Postgraduate training programme in prevention | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[722] Clinical supervision of health care staff | pub=WHO | desc: Clinical supervision of health care staff | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[723] Continuing professional development in treatment | pub=WHO | desc: Continuing professional development in treatment | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[724] Epidemiological data collection for substance use | pub=WHO | desc: Epidemiological data collection for substance use | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[728] Donor commitments (Million, constant 2009 US$) | pub=WHO | desc: Donor commitments (Million, constant 2009 US$) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[731] Occupational risk factors attributable deaths | pub=WHO | desc: Occupational risk factors attributable deaths | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[732] Occupational carcinogens attributable DALYs ('000) | pub=WHO | desc: Occupational carcinogens attributable DALYs ('000) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[734] Occupational noise attributable DALYs ('000) | pub=WHO | desc: Occupational noise attributable DALYs ('000) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[737] Occupational injuries attributable deaths | pub=WHO | desc: Occupational injuries attributable deaths | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[742] Kidney transplants (per million) | pub=WHO | desc: Kidney transplants (per million) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[743] Liver transplants (per million) | pub=WHO | desc: Liver transplants (per million) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[744] Population (millions) | pub=WHO | desc: Population (millions) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[745] Total actual deceased donors (absolute number) | pub=WHO | desc: Total actual deceased donors (absolute number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[748] Donor disbursements (Million, constant 2009 US$) | pub=WHO | desc: Donor disbursements (Million, constant 2009 US$) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[750] Liver transplants (absolute number) | pub=WHO | desc: Liver transplants (absolute number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[751] Total organs transplanted (per million) | pub=WHO | desc: Total organs transplanted (per million) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[753] Kidney transplants (absolute number) | pub=WHO | desc: Kidney transplants (absolute number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[754] Total organs transplanted (absolute number) | pub=WHO | desc: Total organs transplanted (absolute number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[756] National smoking ban: NUMBER OF PLACES SMOKE-FREE | pub=WHO | desc: National smoking ban: NUMBER OF PLACES SMOKE-FREE | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[757] National smoking ban in INDOOR OFFICES | pub=WHO | desc: National smoking ban in INDOOR OFFICES | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[761] Dementia care facilities [hospitals] | pub=WHO | desc: Dementia care facilities [hospitals] | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[762] Care facilities [hospice centres] | pub=WHO | desc: Care facilities [hospice centres] | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[763] Outpatient health centres | pub=WHO | desc: Outpatient health centres | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[765] Total dementia hospital admissions (per 100,000) | pub=WHO | desc: Total dementia hospital admissions (per 100,000) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[768] Age-standardized DALYs, fires, per 100,000 | pub=WHO | desc: Age-standardized DALYs, fires, per 100,000 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[775] Protecting people from tobacco smoke | pub=WHO | desc: Protecting people from tobacco smoke | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[777] National smoking ban: FINES ON THE ESTABLISHMENT | pub=WHO | desc: National smoking ban: FINES ON THE ESTABLISHMENT | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[779] Outpatient social centres | pub=WHO | desc: Outpatient social centres | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[782] Age-standardized DALYs, poisoning, per 100,000 | pub=WHO | desc: Age-standardized DALYs, poisoning, per 100,000 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[788] Age-standardized DALYs, violence, per 100,000 | pub=WHO | desc: Age-standardized DALYs, violence, per 100,000 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[791] Age-standardized death rates, fires, per 100,000 | pub=WHO | desc: Age-standardized death rates, fires, per 100,000 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
