[0] ILOSTAT: Employment-to-population ratio | pub=ILO | desc: Employment-to-population ratio | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, emp
[23] ILOSTAT: Hourly labour cost by activity | pub=ILO | desc: Hourly labour cost by activity | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, lac
[24] ILOSTAT: Fatal occupational injuries rate | pub=ILO | desc: Fatal occupational injuries rate | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, inj
[25] ILOSTAT: Non-fatal occupational injuries rate | pub=ILO | desc: Non-fatal occupational injuries rate | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, inj
[26] ILOSTAT: Child labour rate | pub=ILO | desc: Child labour rate | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, cld
[27] ILOSTAT: Social protection coverage | pub=ILO | desc: Social protection coverage | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, soc
[28] ILOSTAT: Pension coverage | pub=ILO | desc: Pension coverage | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, soc
[29] ILOSTAT: Maternity cash benefits coverage | pub=ILO | desc: Maternity cash benefits coverage | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, soc
[30] ILOSTAT: Migrant workers by sex | pub=ILO | desc: Migrant workers by sex | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, mig
[31] ILOSTAT: Trade union density | pub=ILO | desc: Trade union density | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, ilr
[32] ILOSTAT: Collective bargaining coverage | pub=ILO | desc: Collective bargaining coverage | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, ilr
[33] ILOSTAT: GDP per employed person | pub=ILO | desc: GDP per employed person | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, gdp
[34] ILOSTAT: Labour productivity growth | pub=ILO | desc: Labour productivity growth | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, gdp
[35] ILOSTAT: Consumer price index | pub=ILO | desc: Consumer price index | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, cpi
[36] ILOSTAT: Working poverty rate | pub=ILO | desc: Working poverty rate | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, sdg
[37] ILOSTAT: SDG 8.3.1 Informal employment | pub=ILO | desc: SDG 8.3.1 Informal employment | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, sdg
[38] ILOSTAT: SDG 8.5.2 Unemployment rate | pub=ILO | desc: SDG 8.5.2 Unemployment rate | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, sdg
[39] ILOSTAT: SDG 8.6.1 Youth NEET | pub=ILO | desc: SDG 8.6.1 Youth NEET | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, sdg
[40] ILOSTAT: SDG 8.7.1 Child labour | pub=ILO | desc: SDG 8.7.1 Child labour | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, sdg
[41] ILOSTAT: SDG 8.8.2 Labour rights compliance | pub=ILO | desc: SDG 8.8.2 Labour rights compliance | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, sdg
[42] ILOSTAT: SDG 1.1.1 Working poverty (<$2.15/day) | pub=ILO | desc: SDG 1.1.1 Working poverty (<$2.15/day) | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, sdg
[43] ILOSTAT: SDG 5.5.2 Women in management | pub=ILO | desc: SDG 5.5.2 Women in management | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, sdg
[44] ILOSTAT: SDG 10.5.1 Financial soundness | pub=ILO | desc: SDG 10.5.1 Financial soundness | cols: ref_area, indicator, time, obs_value, sex, classif1 | tags: ilo, labor, sdg
