[10054] Received wages, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10139] Received wages, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10140] Received wages, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10141] Received wages, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10144] Received wages: into an account, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10145] Received wages: into an account, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10146] Received wages: into an account, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10148] Received wages: into an account, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[10149] Received wages: into an account, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[10150] Received wages: into an account, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10151] Received wages: into an account, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10152] Received wages: into an account, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10153] Received wages: into an account, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10154] Received wages: into an account, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10155] Received wages: into an account (% of wage recipients, age 15+) | pub=World Bank | cols: country, date, value, indicator
[10158] Received private sector wages, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10159] Received private sector wages, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10160] Received private sector wages, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10162] Received private sector wages, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[10165] Received private sector wages: into a bank or similar financial institution account, urban (% age 15 | pub=World Bank | cols: country, date, value, indicator
[10166] Received private sector wages: into a bank or similar financial institution account, out of laborfor | pub=World Bank | cols: country, date, value, indicator
[10167] Received private sector wages: into a bank or similar financial institution account, in laborforce ( | pub=World Bank | cols: country, date, value, indicator
[10169] Received private sector wages: into a bank or similar financial institution account, young (% ages 1 | pub=World Bank | cols: country, date, value, indicator
[10170] Received private sector wages: into a bank or similar financial institution account, older (% age 25 | pub=World Bank | cols: country, date, value, indicator
[10171] Received private sector wages: into a bank or similar financial institution account, primary educati | pub=World Bank | cols: country, date, value, indicator
[10172] Received private sector wages: into a bank or similar financial institution account, secondary educa | pub=World Bank | cols: country, date, value, indicator
