[776] NNDSS - TABLE 1CC. Rabies, Animal to Rabies, Human | pub=CDC | desc: NNDSS - TABLE 1CC. Rabies, Animal to Rabies, Human - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents. Note: Thi | cols: Rabies, Animal, Cum 2018†, flag, Rabies, Animal, Cum 2019†, flag, Rabies, Animal, Previous 52 weeks Max†, flag, MMWR Year, Location 2 (address), Location 1 (address), Rabies, Human, Previous 52 weeks Max†, Rabies, Human, Cum 2019†, Location 1 (state), Location 2 | tags: nndss, rabies, human, wonder, netss, nedss
[813] NNDSS - TABLE 1S. Invasive pneumococcal disease, all ages, Confirmed to Invasive pneumococcal diseas | pub=CDC | desc: NNDSS - TABLE 1S. Invasive pneumococcal disease, all ages, Confirmed to Invasive pneumococcal disease, all ages, Probable - 2020. In this Table, provisional cases* of notifiable diseases are displayed | cols: MMWR Week, Reporting Area Sort, Location 2, Location 1, Invasive pneumococcal disease, all ages§, Probable, Current week, Invasive pneumococcal disease, all ages§, Confirmed, Cum 2019†, flag, Invasive pneumococcal disease, all ages§, Confirmed, Cum 2019†, Invasive pneumococcal disease, all ages§, Confirmed, Cum 2020†, flag, Invasive pneumococcal disease, all ages§, Confirmed, Cum 2020†, Invasive pneumococcal disease, all ages§, Confirmed, Previous 52 weeks Max† | tags: invasive pneumococcal disease, netss, nndss, wonder, probable, 2020
[814] NNDSS - TABLE 1PP. Yellow fever to Zika virus disease, non-congenital | pub=CDC | desc: NNDSS - TABLE 1PP. Yellow fever to Zika virus disease, non-congenital - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. r | cols: Reporting Area, Yellow fever, Current week, flag, Zika virus disease, non-congenital, Current week, flag, Zika virus disease, non-congenital, Previous 52 weeks Max†, flag, Location 2 (address), Yellow fever, Current week, Yellow fever, Previous 52 weeks Max†, Yellow fever, Cum 2018†, Yellow fever, Cum 2018†, flag, Location 1 (address) | tags: zika virus disease, 2019, wonder, non-congenital, yellow fever, nndss
[817] NNDSS - TABLE 1E. Botulism, Foodborne to Botulism, Other | pub=CDC | desc: NNDSS - Table 1E. Botulism, Foodborne to Botulism, Other (wound & unspecified) - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and N | cols: Botulism, Other (wound and unspecified), Current week, flag , Botulism, Infant, Cum 2019†, Botulism, Foodborne, Cum 2019†, flag, Botulism, Foodborne, Current week, flag, Botulism, Foodborne, Current week, MMWR Week, MMWR Year, Botulism, Other (wound and unspecified), Cum 2018†, flag, Botulism, Other (wound and unspecified), Cum 2019†, flag, Botulism, Infant, Cum 2018† | tags: 2019, botulism, other (wound and unspecified), infant, foodborne, nedss
[819] NNDSS - Table 1C. Arboviral diseases, St. Louis encephalitis virus disease to West Nile virus diseas | pub=CDC | desc: NNDSS - Table 1C. Arboviral diseases, St. Louis encephalitis virus disease to West Nile virus disease - 2020. In this Table, provisional cases* of notifiable diseases are displayed for United States,  | cols: Arboviral diseases, West Nile virus disease, Cum 2019†, Location 1, Location 2, Reporting Area Sort, MMWR Week, Arboviral diseases, St. Louis encephalitis virus disease, Cum 2020†, Arboviral diseases, St. Louis encephalitis virus disease, Cum 2019†, Arboviral diseases, West Nile virus disease, Previous 52 weeks Max†, Arboviral diseases, West Nile virus disease, Cum 2020†, Arboviral diseases, West Nile virus disease, Current week, flag | tags: 2020, west nile virus disease, st. louis virus disease, wonder, arboviral diseases, nedss
[820] NNDSS - Table 1D. Arboviral diseases, Western equine encephalitis virus disease to Babesiosis | pub=CDC | desc: NNDSS - Table 1D. Arboviral diseases, Western equine encephalitis virus disease to Babesiosis - 2021. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. ter | cols: Babesiosis, Previous 52 weeks Max†, flag, Reporting Area Sort, Location 2, Location 1, Babesiosis, Cum 2020†, flag, Babesiosis, Cum 2020†, Babesiosis, Cum 2021†, Babesiosis, Previous 52 weeks Max†, Arboviral diseases, Western equine encephalitis virus disease, Cum 2020†, flag, Arboviral diseases, Western equine encephalitis virus disease, Cum 2020† | tags: nedss, wonder, western equine encephalitis virus disease, nndss, netss, babesiosis
[823] NNDSS - TABLE 1G. Carbapenemase-producing carbapenem-resistant Enterobacteriaceae to Chancroid | pub=CDC | desc: NNDSS - Table 1G. Carbapenemase-producing carbapenem-resistant Enterobacteriaceae to Chancroid - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. te | cols: Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Previous 52 weeks Max†, flag, Chancroid, Previous 52 weeks Max†, flag, Chlamydia trachomatis infection, Previous 52 weeks Max†, flag, MMWR Year, Location 1 (zip), Chlamydia trachomatis infection, Cum 2018†, flag, Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2019†, flag, Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Cum 2018†, Carbapenemase-producing Carbapenem-resistant enterobacteriaceae§, Current week, Reporting Area Sort | tags: netss, nndss, wonder, 2019, carbapenemase-producing carbapenem-resistant enterobacteriaceae, chancroid
[825] NNDSS - TABLE 1CC. Rabies, Animal to Rabies, Human | pub=CDC | desc: NNDSS - TABLE 1CC. Rabies, Animal to Rabies, Human - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents. Note: Thi | cols: Rabies, Animal, Previous 52 weeks Max†, MMWR Year, Location 2 (address), Location 2 (zip), Location 2 (city), Location 1 (address), Rabies, Animal, Current week, flag, Rabies, Animal, Cum 2018†, flag, Rabies, Human, Current week, Rabies, Human, Current week, flag | tags: animal, netss, nedss, human, wonder, rabies
[827] NNDSS - TABLE 1K. Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection to Ehrlichia ch | pub=CDC | desc: NNDSS - TABLE 1K. Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection to Ehrlichia chaffeensis infection - 2021. In this Table, provisional cases* of notifiable diseases are displayed f | cols: Reporting Area Sort, Location 1, Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection, Cum 2020†, Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection, Cum 2021†, Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection, Current week, Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection, Cum 2021†, Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection, Previous 52 weeks Max†, Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection, Cum 2020†, Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection, Cum 2021†, flag, Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection, Current week | tags: nndss, netss, nedss, ehrlichia chaffeensis infection, anaplasma phagocytophilum infection, ehrlichiosis and anaplasmosis
[828] NNDSS - TABLE 1N. Haemophilus influenzae, invasive disease, Age <5 years, Non-b serotype to Unknown  | pub=CDC | desc: NNDSS - TABLE 1N. Haemophilus influenzae, invasive disease, Age <5 years, Non-b serotype to Unknown serotype - 2020. In this Table, provisional cases* of notifiable diseases are displayed for United S | cols: Haemophilus influenza, invasive disease, Age <5 years, Nontypeable, Cum 2019†, flag, Haemophilus influenza, invasive disease, Age <5 years, Nontypeable, Cum 2019†, Haemophilus influenza, invasive disease, Age <5 years, Nontypeable, Cum 2020†, flag, Haemophilus influenza, invasive disease, Age <5 years, Nontypeable, Previous 52 weeks Max†, flag, Haemophilus influenza, invasive disease, Age <5 years, Non-b serotype, Cum 2019†, geocode, Haemophilus influenza, invasive disease, Age <5 years, Non-b serotype, Cum 2020†, flag, Haemophilus influenza, invasive disease, Age <5 years, Non-b serotype, Cum 2020†, MMWR Week, Reporting Area | tags: nontypeable, age <5 years, 2020, haemophilus influenzae, invasive disease, nedss
[830] NNDSS - Table 1H.  Cholera to Coccidioidomycosis | pub=CDC | desc: NNDSS - Table 1H. Cholera to Coccidioidomycosis - 2020. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents. Notice: Data | cols: Counties, Reporting Area, MMWR Week, Cholera, Previous 52 weeks Max†, Coccidioidomycosis, Current week, Coccidioidomycosis, Cum 2020†, Reporting Area Sort, Cholera, Current week, flag, Cholera, Cum 2020†, Cholera, Previous 52 weeks Max†, flag | tags: coccidioidomycosis, netss, nndss, 2020, cholera, nedss
[831] NNDSS - TABLE 1J. Dengue virus infections, Dengue to Severe dengue | pub=CDC | desc: NNDSS - TABLE 1J. Dengue virus infections, Dengue to Severe dengue - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. resi | cols: Location 2 (city), Dengue virus infections§ , Dengue, Cum 2018†, flag, MMWR Year, Dengue virus infections§ , Severe dengue, Current week, flag, Dengue virus infections§ s, Dengue-like illness, Current week, Reporting Area Sort, Location 2 (zip), Location 2 (state), Location 2 (address), Location 1 (state) | tags: dengue, netss, wonder, nndss, 2019, dengue-like illness
[832] NNDSS - TABLE 1KK. Vancomycin-intermediate Staphylococcus aureus to Varicella morbidity | pub=CDC | desc: NNDSS - TABLE 1KK. Vancomycin-intermediate Staphylococcus aureus to Varicella morbidity – 2021. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territori | cols: Varicella morbidity, Cum 2021†, Counties, States, Vancomycin-intermediate Staphylococcus aureus, Current week, Vancomycin-resistant Staphylococcus aureus, Cum 2020†, flag, Vancomycin-resistant Staphylococcus aureus, Cum 2020†, Vancomycin-resistant Staphylococcus aureus, Current week, Varicella morbidity, Cum 2021†, flag, Vancomycin-intermediate Staphylococcus aureus, Cum 2020†, flag, Varicella morbidity, Previous 52 weeks Max†, flag | tags: vancomycin-resistant staphylococcus aureus, varicella morbidity, 2021, nedss, netss, nndss
[835] NNDSS - TABLE 1U. Leptospirosis to Listeriosis, Probable | pub=CDC | desc: NNDSS - TABLE 1U. Leptospirosis to Listeriosis, Probable - 2020. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents. Not | cols: Listeriosis§, Probable, Current week, flag, New Georeferenced Column, Reporting Area Sort, Location 2, Listeriosis§, Probable,  Cum 2019†, Listeriosis§, Confirmed, Cum 2019†, Listeriosis§, Confirmed, Cum 2020†, Listeriosis§, Confirmed, Previous 52 weeks Max†, flag, Listeriosis§, Confirmed, Previous 52 weeks Max†, Listeriosis§, Confirmed, Current week | tags: leptospirosis, nedss, netss, nndss, 2020, probable
