[10624] Received payments for agricultural products: in cash only, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10660] Most worrying financial issue: money for old age, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10661] Most worrying financial issue: money for old age, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10662] Most worrying financial issue: money for old age, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10663] Most worrying financial issue: money for business  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10664] Most worrying financial issue: money for business, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10665] Most worrying financial issue: money for business, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10666] Most worrying financial issue: money for business, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10667] Most worrying financial issue: money for business, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10668] Most worrying financial issue: money for business, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10669] Most worrying financial issue: money for business, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[10670] Most worrying financial issue: money for business, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[10671] Most worrying financial issue: money for business, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10672] Most worrying financial issue: money for business, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10673] Most worrying financial issue: money for business, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10674] Most worrying financial issue: money for business, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10675] Most worrying financial issue: money for business, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10678] Most worrying financial issue: paying for medical costs in case of a serious illness or accident, ur | pub=World Bank | cols: country, date, value, indicator
[10679] Most worrying financial issue: paying for medical costs in case of a serious illness or accident, ou | pub=World Bank | cols: country, date, value, indicator
[10680] Most worrying financial issue: paying for medical costs in case of a serious illness or accident, in | pub=World Bank | cols: country, date, value, indicator
[10682] Most worrying financial issue: paying for medical costs in case of a serious illness or accident, yo | pub=World Bank | cols: country, date, value, indicator
[10683] Most worrying financial issue: paying for medical costs in case of a serious illness or accident, ol | pub=World Bank | cols: country, date, value, indicator
[10684] Most worrying financial issue: paying for medical costs in case of a serious illness or accident, pr | pub=World Bank | cols: country, date, value, indicator
[10685] Most worrying financial issue: paying for medical costs in case of a serious illness or accident, se | pub=World Bank | cols: country, date, value, indicator
[10686] Most worrying financial issue: paying for medical costs in case of a serious illness or accident, po | pub=World Bank | cols: country, date, value, indicator
[10687] Most worrying financial issue: paying for medical costs in case of a serious illness or accident, ri | pub=World Bank | cols: country, date, value, indicator
[10688] Most worrying financial issue: paying for medical costs in case of a serious illness or accident, ru | pub=World Bank | cols: country, date, value, indicator
[10691] Most worrying financial issue: money to pay for monthly expenses or bills, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10692] Most worrying financial issue: money to pay for monthly expenses or bills, out of laborforce (% age  | pub=World Bank | cols: country, date, value, indicator
[10693] Most worrying financial issue: money to pay for monthly expenses or bills, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10695] Most worrying financial issue: money to pay for monthly expenses or bills, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[10696] Most worrying financial issue: money to pay for monthly expenses or bills, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[10697] Most worrying financial issue: money to pay for monthly expenses or bills, primary education or less | pub=World Bank | cols: country, date, value, indicator
[10698] Most worrying financial issue: money to pay for monthly expenses or bills, secondary education or mo | pub=World Bank | cols: country, date, value, indicator
[10699] Most worrying financial issue: money to pay for monthly expenses or bills, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10700] Most worrying financial issue: money to pay for monthly expenses or bills, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10701] Most worrying financial issue: money to pay for monthly expenses or bills, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10704] Most worrying financial issue: paying school or education fees, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10705] Most worrying financial issue: paying school or education fees, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10706] Most worrying financial issue: paying school or education fees, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10708] Most worrying financial issue: paying school or education fees, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[10709] Most worrying financial issue: paying school or education fees, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[10710] Most worrying financial issue: paying school or education fees, primary education or less (% age 15+ | pub=World Bank | cols: country, date, value, indicator
[10711] Most worrying financial issue: paying school or education fees, secondary education or more (% age 1 | pub=World Bank | cols: country, date, value, indicator
[10712] Most worrying financial issue: paying school or education fees, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10713] Most worrying financial issue: paying school or education fees, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10714] Most worrying financial issue: paying school or education fees, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10715] Has a national identity card (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10716] Has a national identity card, female (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10717] Has a national identity card, male (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10718] Has a national identity card, income, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10719] Has a national identity card, income, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10720] Has a national identity card (% ages 15-34) | pub=World Bank | cols: country, date, value, indicator
[10721] Has a national identity card (% ages 35-59) | pub=World Bank | cols: country, date, value, indicator
[10722] Has a national identity card (% age 60+) | pub=World Bank | cols: country, date, value, indicator
[10723] Deposited money into a bank or similar financial institution, less than once a month  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[10724] Deposited money into a bank or similar financial institution, less than once a month, women (% age 1 | pub=World Bank | cols: country, date, value, indicator
[10725] Deposited money into a bank or similar financial institution, less than once a month, urban (% age 1 | pub=World Bank | cols: country, date, value, indicator
[10726] Deposited money into a bank or similar financial institution, less than once a month, out of laborfo | pub=World Bank | cols: country, date, value, indicator
[10727] Deposited money into a bank or similar financial institution, less than once a month, in laborforce  | pub=World Bank | cols: country, date, value, indicator
[10728] Deposited money into a bank or similar financial institution, less than once a month, men (% age 15+ | pub=World Bank | cols: country, date, value, indicator
[10729] Deposited money into a bank or similar financial institution, less than once a month, young (% ages  | pub=World Bank | cols: country, date, value, indicator
[10730] Deposited money into a bank or similar financial institution, less than once a month, older (% age 2 | pub=World Bank | cols: country, date, value, indicator
[10731] Deposited money into a bank or similar financial institution, less than once a month, primary educat | pub=World Bank | cols: country, date, value, indicator
[10732] Deposited money into a bank or similar financial institution, less than once a month, secondary educ | pub=World Bank | cols: country, date, value, indicator
[10733] Deposited money into a bank or similar financial institution, less than once a month, poorest 40% (% | pub=World Bank | cols: country, date, value, indicator
[10734] Deposited money into a bank or similar financial institution, less than once a month, richest 60% (% | pub=World Bank | cols: country, date, value, indicator
[10735] Deposited money into a bank or similar financial institution, less than once a month, rural (% age 1 | pub=World Bank | cols: country, date, value, indicator
[10736] Deposited money into a bank or similar financial institution, monthly (%,  age 15+) (% age 15+) | pub=World Bank | cols: country, date, value, indicator
