[8090] Bread and cereals price in PPP terms (U.S. price = 100) | pub=World Bank | cols: country, date, value, indicator
[8175] 585_Do laws and regulations contain no provisions to restrict excessive borrowing?_#VHFA_03 | pub=World Bank | cols: country, date, value, indicator
[8176] 584_Do laws and regulations set other restrictions on excessive borrowing?_#VHFA_02 | pub=World Bank | cols: country, date, value, indicator
[8177] 600_Are financial institutions required to have a minimum level of professional competence/training  | pub=World Bank | cols: country, date, value, indicator
[8178] 595_Are financial institutions required to have a minimum level of professional competence/training  | pub=World Bank | cols: country, date, value, indicator
[8179] 599_Are financial institutions required to have a minimum level of professional competence/training  | pub=World Bank | cols: country, date, value, indicator
[8180] 596_Are financial institutions required to have a minimum level of professional competence/training  | pub=World Bank | cols: country, date, value, indicator
[8181] 601_Are financial institutions required to have a minimum level of professional competence/training  | pub=World Bank | cols: country, date, value, indicator
[8182] 598_Are financial institutions required to have a minimum level of professional competence/training  | pub=World Bank | cols: country, date, value, indicator
[8183] 597_Are financial institutions required to have a minimum level of professional competence/training  | pub=World Bank | cols: country, date, value, indicator
[8184] 602_Do laws or regulations require minimum standards for debt collection practices?_#VHJA_00 | pub=World Bank | cols: country, date, value, indicator
[8185] 590_Do laws and regulations prohibit or restrict bundling and tying services and products in a manne | pub=World Bank | cols: country, date, value, indicator
[8186] 589_Do laws and regulations prohibit or restrict discriminating consumers based on gender, ethnicity | pub=World Bank | cols: country, date, value, indicator
[8187] 591_Do laws and regulations limit fees and charges for account closure that impede customer mobility | pub=World Bank | cols: country, date, value, indicator
[8188] 594_Do laws and regulations limit early repayment penalties that impede customer mobility between fi | pub=World Bank | cols: country, date, value, indicator
[8189] 592_Do laws and regulations prohibit extra burdening procedures for account closure that limit custo | pub=World Bank | cols: country, date, value, indicator
[8190] 588_Do laws and regulations prohibit or restrict the use in consumer agreements of any term or condi | pub=World Bank | cols: country, date, value, indicator
[8191] 587_Do laws and regulations prohibit or restrict the use in consumer agreements of any term or condi | pub=World Bank | cols: country, date, value, indicator
[8192] 586_Do laws and regulations prohibit or restrict the use in consumer agreements of any term or condi | pub=World Bank | cols: country, date, value, indicator
[8193] 629_Does the alternative dispute resolution (ADR) entity analyze the complaints data to identify tre | pub=World Bank | cols: country, date, value, indicator
[8194] 619_Does the alternative dispute resolution (ADR) entity also cover non-financial services? _#VHMB_0 | pub=World Bank | cols: country, date, value, indicator
[8195] 612_Is there an out-of-court alternative dispute resolution (ADR) scheme that provides both binding  | pub=World Bank | cols: country, date, value, indicator
[8196] 613_Is there an out-of-court alternative dispute resolution (ADR) scheme that provides binding decis | pub=World Bank | cols: country, date, value, indicator
[8197] 627_Does the alternative dispute resolution (ADR) entity require that consumers first submit their c | pub=World Bank | cols: country, date, value, indicator
[8198] 630_Does the alternative dispute resolution (ADR) entity communicate complaint trends to the regulat | pub=World Bank | cols: country, date, value, indicator
[8199] 628_Does the alternative dispute resolution (ADR) entity maintain a database of registered/recorded  | pub=World Bank | cols: country, date, value, indicator
[8200] 623_Is the alternative dispute resolution (ADR) entity funded from the budget of a specific governme | pub=World Bank | cols: country, date, value, indicator
[8201] 626_Is the alternative dispute resolution (ADR) entity funded by a combination of government and oth | pub=World Bank | cols: country, date, value, indicator
[8202] 622_Is the alternative dispute resolution (ADR) entity funded from a budget allocated by the central | pub=World Bank | cols: country, date, value, indicator
[8203] 624_Is the alternative dispute resolution (ADR) entity funded by a financial industry association?_# | pub=World Bank | cols: country, date, value, indicator
[8204] 625_Is the alternative dispute resolution (ADR) entity funded by direct contributions of its members | pub=World Bank | cols: country, date, value, indicator
[8205] 618_Does the alternative dispute resolution (ADR) entity focus only on financial services?_#VHMB_00 | pub=World Bank | cols: country, date, value, indicator
[8206] 639_Are agents among the top-three issues complained about to the alternative dispute resolution (AD | pub=World Bank | cols: country, date, value, indicator
[8207] 638_Are ATM transactions among the top-three issues complained about to the alternative dispute reso | pub=World Bank | cols: country, date, value, indicator
[8208] 637_Is bundling or tying of products among the top-three issues complained about to the alternative  | pub=World Bank | cols: country, date, value, indicator
[8209] 649_Are current accounts among the top-three products complained about to the alternative dispute re | pub=World Bank | cols: country, date, value, indicator
[8210] 643_Are credit cards among the top-three products complained about to the alternative dispute resolu | pub=World Bank | cols: country, date, value, indicator
[8211] 646_Are consumer loans among the top-three products complained about to the alternative dispute reso | pub=World Bank | cols: country, date, value, indicator
[8212] 648_Are deposit accounts among the top-three products complained about to the alternative dispute re | pub=World Bank | cols: country, date, value, indicator
[8213] 644_Are debit cards among the top-three products complained about to the alternative dispute resolut | pub=World Bank | cols: country, date, value, indicator
[8214] 634_Are excessive interest or fees among the top-three issues complained about to the alternative di | pub=World Bank | cols: country, date, value, indicator
[8215] 652_Are e-money products among the top-three products complained about to the alternative dispute re | pub=World Bank | cols: country, date, value, indicator
[8216] 635_Is fraud among the top-three issues complained about to the alternative dispute resolution (ADR) | pub=World Bank | cols: country, date, value, indicator
[8217] 645_Are mortgage or housing loans among the top-three products complained about to the alternative d | pub=World Bank | cols: country, date, value, indicator
[8218] 650_Is life insurance among the top-three products complained about to the alternative dispute resol | pub=World Bank | cols: country, date, value, indicator
[8219] 647_Are micro loans among the top-three products complained about to the alternative dispute resolut | pub=World Bank | cols: country, date, value, indicator
[8220] 651_Is non-life insurance among the top-three products complained about to the alternative dispute r | pub=World Bank | cols: country, date, value, indicator
[8221] 642_Are other issues among the top-three issues complained about to the alternative dispute resoluti | pub=World Bank | cols: country, date, value, indicator
[8222] 641_Is product switching or closure among the top-three issues complained about to the alternative d | pub=World Bank | cols: country, date, value, indicator
