[9085] Saved at a financial institution (% ages 15-34) | pub=World Bank | cols: country, date, value, indicator
[9162] Received interest or additional money for savings in account in the past 12 months, older (% age 25+ | pub=World Bank | cols: country, date, value, indicator
[9163] Received interest or additional money for savings in account in the past 12 months, primary educatio | pub=World Bank | cols: country, date, value, indicator
[9164] Received interest or additional money for savings in account in the past 12 months, secondary educat | pub=World Bank | cols: country, date, value, indicator
[9165] Received interest or additional money for savings in account in the past 12 months, poorest 40% (% a | pub=World Bank | cols: country, date, value, indicator
[9166] Received interest or additional money for savings in account in the past 12 months, richest 60% (% a | pub=World Bank | cols: country, date, value, indicator
[9167] Received interest or additional money for savings in account in the past 12 months, rural (% age 15+ | pub=World Bank | cols: country, date, value, indicator
[9168] Saved for old age  (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9169] Saved for old age, women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9170] Saved for old age, urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9171] Saved for old age, out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9172] Saved for old age, in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9173] Saved for old age, men (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9174] Saved for old age, young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[9175] Saved for old age, older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[9176] Saved for old age, primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9177] Saved for old age, secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9178] Saved for old age, poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9179] Saved for old age, richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9180] Saved for old age, rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9184] Made regular payments to insurance agent or company , urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9185] Made regular payments to insurance agent or company , out of laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9186] Made regular payments to insurance agent or company , in laborforce (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9188] Made regular payments to insurance agent or company , young (% ages 15-24) | pub=World Bank | cols: country, date, value, indicator
[9189] Made regular payments to insurance agent or company , older (% age 25+) | pub=World Bank | cols: country, date, value, indicator
[9190] Made regular payments to insurance agent or company , primary education or less (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9191] Made regular payments to insurance agent or company , secondary education or more (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9192] Made regular payments to insurance agent or company , poorest 40% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9193] Made regular payments to insurance agent or company , richest 60% (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9194] Made regular payments to insurance agent or company , rural (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9208] Applied for a loan using a mobile phone   (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9209] Applied for a loan using a mobile phone , women (% age 15+) | pub=World Bank | cols: country, date, value, indicator
[9210] Applied for a loan using a mobile phone , urban (% age 15+) | pub=World Bank | cols: country, date, value, indicator
