[8423] 034_Are commercial banks permitted to distribute pension products?_#VGDA_08 | pub=World Bank | cols: country, date, value, indicator
[8478] 090_Are third parties such as retail agents allowed to receive and submit to the institution a loan  | pub=World Bank | cols: country, date, value, indicator
[8479] 091_Are third parties such as retail agents allowed to open a customer account on behalf of other ba | pub=World Bank | cols: country, date, value, indicator
[8480] 093_Are third parties such as retail agents allowed to receive deposits on behalf of other banks?_#V | pub=World Bank | cols: country, date, value, indicator
[8481] 102_Are third parties such as retail agents allowed to identify and/or verify the identity of the cu | pub=World Bank | cols: country, date, value, indicator
[8482] 104_Are third parties such as retail agents allowed to receive and submit to the institution a loan  | pub=World Bank | cols: country, date, value, indicator
[8483] 105_Are third parties such as retail agents allowed to open a customer account on behalf of other de | pub=World Bank | cols: country, date, value, indicator
[8484] 107_Are third parties such as retail agents allowed to receive deposits on behalf of other deposit t | pub=World Bank | cols: country, date, value, indicator
[8485] 080_Are at least some financial service providers permitted to use retail agents as third-party deli | pub=World Bank | cols: country, date, value, indicator
[8486] 148_Is the term of microcredit explicitly defined in law or regulation?_#VGGA_01 | pub=World Bank | cols: country, date, value, indicator
[8487] 147_Is the term of microfinance explicitly defined in law or regulation?_#VGGA_00 | pub=World Bank | cols: country, date, value, indicator
[8488] 149_Is the term of microsavings explicitly defined in law or regulation?_#VGGA_02 | pub=World Bank | cols: country, date, value, indicator
[8489] 018_Is a national financial capability/literacy/education strategy (NFCS/NFLS/NFES) under developmen | pub=World Bank | cols: country, date, value, indicator
[8490] 017_Has a national financial capability/literacy/education strategy (NFCS/NFLS/NFES) already been la | pub=World Bank | cols: country, date, value, indicator
[8491] 009_Is a national financial inclusion strategy (NFIS) under development?_#VGAC_01 | pub=World Bank | cols: country, date, value, indicator
[8492] 008_Has a national financial inclusion strategy (NFIS) already been launched?_#VGAC_00 | pub=World Bank | cols: country, date, value, indicator
[8493] 012_Is a general financial sector development strategy with a financial inclusion component (GFSDS/F | pub=World Bank | cols: country, date, value, indicator
[8494] 011_Has a general financial sector development strategy with a financial inclusion component (GFSDS/ | pub=World Bank | cols: country, date, value, indicator
[8495] 016_Is a national microfinance strategy (NMS) under development?_#VGAF_01 | pub=World Bank | cols: country, date, value, indicator
[8496] 015_Has a national microfinance strategy (NMS) already been launched?_#VGAF_00 | pub=World Bank | cols: country, date, value, indicator
[8497] 014_Is a national development strategy with a financial inclusion component (NDS/FI) under developme | pub=World Bank | cols: country, date, value, indicator
[8498] 013_Has a national development strategy with a financial inclusion component (NDS/FI) already been l | pub=World Bank | cols: country, date, value, indicator
[8499] 022_Are deposit-taking institutions required to offer basic financial products to promote financial  | pub=World Bank | cols: country, date, value, indicator
[8500] 023_Are recipients of government transfers encouraged or mandated to open an account to receive thei | pub=World Bank | cols: country, date, value, indicator
[8501] 020_Are priority lending policies in place to promote financial inclusion?_#VGBA_01 | pub=World Bank | cols: country, date, value, indicator
[8502] 019_Are requirements, exceptions, tax incentives, or subsidies policies in place to promote financia | pub=World Bank | cols: country, date, value, indicator
[8503] 021_Are tax incentive savings schemes in place to promote financial inclusion?_#VGBA_02 | pub=World Bank | cols: country, date, value, indicator
[8504] 025_Has a survey of firms including questions on financial inclusion or access to finance been condu | pub=World Bank | cols: country, date, value, indicator
[8505] 024_Has a survey of households or individuals including questions on financial inclusion or access t | pub=World Bank | cols: country, date, value, indicator
[8509] Bank deposit accounts (per 1,000 people) | pub=World Bank | cols: country, date, value, indicator
[8512] General administration function expenditure (in IDR) | pub=World Bank | cols: country, date, value, indicator
[8513] Agriculture function expenditure (in IDR) | pub=World Bank | cols: country, date, value, indicator
[8514] Economy function expenditure (in IDR) | pub=World Bank | cols: country, date, value, indicator
[8515] Education function expenditure (in IDR) | pub=World Bank | cols: country, date, value, indicator
[8516] Environment function expenditure (in IDR) | pub=World Bank | cols: country, date, value, indicator
[8517] Health function expenditure (in IDR) | pub=World Bank | cols: country, date, value, indicator
[8518] Housing and public facilities function expenditure (in IDR) | pub=World Bank | cols: country, date, value, indicator
[8519] Infrastructure function expenditure (in IDR) | pub=World Bank | cols: country, date, value, indicator
[8520] Social protection function expenditure (in IDR) | pub=World Bank | cols: country, date, value, indicator
[8521] Public, law and order function expenditure (in IDR) | pub=World Bank | cols: country, date, value, indicator
[8522] Religious function expenditure (in IDR) | pub=World Bank | cols: country, date, value, indicator
[8523] Tourism and culture function expenditure (in IDR) | pub=World Bank | cols: country, date, value, indicator
[8526] Persons aged 15 to 29 years in food insecure households (% persons aged 15 to 29 years with disabili | pub=World Bank | cols: country, date, value, indicator
[8527] Persons aged 30 to 44 years in food insecure households (% persons aged 30 to 44 years with disabili | pub=World Bank | cols: country, date, value, indicator
[8528] Persons aged 45 to 64 years in food insecure households (% persons aged 45 to 64 years with disabili | pub=World Bank | cols: country, date, value, indicator
[8529] Persons aged 65 or older in food insecure households (% persons aged 65 or older with disability i.e | pub=World Bank | cols: country, date, value, indicator
