[0] Power density limit at 900 MHz (W/m^2) | pub=WHO | desc: Power density limit at 900 MHz (W/m^2) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[30] Number of laboratory health workers | pub=WHO | desc: Number of laboratory health workers | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[36] Age-standardized DALYs (per 100,000) | pub=WHO | desc: Age-standardized DALYs (per 100,000) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[37] Existence of dementia carer support services | pub=WHO | desc: Existence of dementia carer support services | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[41] Number of dental technicians/assistants | pub=WHO | desc: Number of dental technicians/assistants | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[46] Number of new HIV infections | pub=WHO | desc: Number of new HIV infections | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[47] Number of community health workers | pub=WHO | desc: Number of community health workers | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[48] Number of traditional birth attendants | pub=WHO | desc: Number of traditional birth attendants | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[51] Full immunization coverage among one-year-olds (%) | pub=WHO | desc: Full immunization coverage among one-year-olds (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[62] Number of health management & support workers | pub=WHO | desc: Number of health management & support workers | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[63] Number of environment and public health workers | pub=WHO | desc: Number of environment and public health workers | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[64] Number of laboratory technicians/assistants | pub=WHO | desc: Number of laboratory technicians/assistants | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[65] Number of pharmaceutical personnel | pub=WHO | desc: Number of pharmaceutical personnel | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[66] Physicians density (per 1000 population) | pub=WHO | desc: Physicians density (per 1000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[74] Other health workers density (per 1000 population) | pub=WHO | desc: Other health workers density (per 1000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[88] Number of dentistry personnel | pub=WHO | desc: Number of dentistry personnel | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[89] Number of community and traditional health workers | pub=WHO | desc: Number of community and traditional health workers | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[90] Number of other health workers | pub=WHO | desc: Number of other health workers | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[91] Number of nursing and midwifery personnel | pub=WHO | desc: Number of nursing and midwifery personnel | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[92] Dentistry personnel density (per 1000 population) | pub=WHO | desc: Dentistry personnel density (per 1000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[97] Number of biomedical engineers | pub=WHO | desc: Number of biomedical engineers | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[107] Number of suspected meningitis deaths reported | pub=WHO | desc: Number of suspected meningitis deaths reported | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[108] Number of suspected meningitis cases reported | pub=WHO | desc: Number of suspected meningitis cases reported | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[109] Mental health outpatient facilities (per 100,000) | pub=WHO | desc: Mental health outpatient facilities (per 100,000) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[111] Electric field (V/m) | pub=WHO | desc: Electric field (V/m) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[112] Magnetic flux density (microT) | pub=WHO | desc: Magnetic flux density (microT) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[117] Availability of generic anti-dementia medication | pub=WHO | desc: Availability of generic anti-dementia medication | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[120] Number of people dying from HIV-related causes | pub=WHO | desc: Number of people dying from HIV-related causes | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[123] Estimated number of pregnant women living with HIV | pub=WHO | desc: Estimated number of pregnant women living with HIV | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[127] Household air pollution attributable DALYs | pub=WHO | desc: Household air pollution attributable DALYs | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[129] Number of nursing personnel | pub=WHO | desc: Number of nursing personnel | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[130] Number of physicians | pub=WHO | desc: Number of physicians | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[131] Number of midwifery personnel | pub=WHO | desc: Number of midwifery personnel | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[132] Number of pharmacists | pub=WHO | desc: Number of pharmacists | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[133] Number of radiographers | pub=WHO | desc: Number of radiographers | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[134] Number of other health workers | pub=WHO | desc: Number of other health workers | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[138] Stand-alone policy or plan for mental health | pub=WHO | desc: Stand-alone policy or plan for mental health | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[141] Household air pollution attributable deaths | pub=WHO | desc: Household air pollution attributable deaths | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[147] Ambient air pollution attributable deaths | pub=WHO | desc: Ambient air pollution attributable deaths | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[148] Ambient air pollution attributable DALYs | pub=WHO | desc: Ambient air pollution attributable DALYs | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[155] Nomination of National Focal Point (NFP) | pub=WHO | desc: Nomination of National Focal Point (NFP) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[158] Generalist medical practitioners (number) | pub=WHO | desc: Generalist medical practitioners (number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[159] Medical doctors not further defined (number) | pub=WHO | desc: Medical doctors not further defined (number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[170] Status of countries enrolled in GLASS | pub=WHO | desc: Status of countries enrolled in GLASS | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[171] Functioning national AMR surveillance plan | pub=WHO | desc: Functioning national AMR surveillance plan | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[175] BCG immunization coverage among one-year-olds (%) | pub=WHO | desc: BCG immunization coverage among one-year-olds (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[176] Midwifery personnel (number) | pub=WHO | desc: Midwifery personnel (number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[177] Dentists (number) | pub=WHO | desc: Dentists (number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[178] Dental Assistants and Therapists (number) | pub=WHO | desc: Dental Assistants and Therapists (number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[180] Surveillance | pub=WHO | desc: Surveillance | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[181] Human resources | pub=WHO | desc: Human resources | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[182] Points of entry | pub=WHO | desc: Points of entry | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[183] Chemical | pub=WHO | desc: Chemical | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[187] Number of biomedical technicians | pub=WHO | desc: Number of biomedical technicians | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[188] Medical doctors (per 10,000) | pub=WHO | desc: Medical doctors (per 10,000) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[189] Medical doctors (number) | pub=WHO | desc: Medical doctors (number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[190] Nursing and midwifery personnel  (number) | pub=WHO | desc: Nursing and midwifery personnel  (number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[191] Dentists (per 10,000) | pub=WHO | desc: Dentists (per 10,000) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[192] Pharmacists  (per 10,000) | pub=WHO | desc: Pharmacists  (per 10,000) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[196] Prevalence of met need of assistive products (%) | pub=WHO | desc: Prevalence of met need of assistive products (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[198] Campaign utilized media planning | pub=WHO | desc: Campaign utilized media planning | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[200] Campaign aired on television and/or radio | pub=WHO | desc: Campaign aired on television and/or radio | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[202] Ambient air pollution attributable YLLs | pub=WHO | desc: Ambient air pollution attributable YLLs | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[203] Ambient air pollution attributable DALYs | pub=WHO | desc: Ambient air pollution attributable DALYs | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[207] GLASS pathogens testing covered by EQA | pub=WHO | desc: GLASS pathogens testing covered by EQA | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[208] Types of AST standards followed by countries | pub=WHO | desc: Types of AST standards followed by countries | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[211] Formative research was conducted | pub=WHO | desc: Formative research was conducted | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[212] Dental Prosthetic Technicians (number) | pub=WHO | desc: Dental Prosthetic Technicians (number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[213] Pharmacists  (number) | pub=WHO | desc: Pharmacists  (number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[216] Community Health Workers (number) | pub=WHO | desc: Community Health Workers (number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[217] Preparedness | pub=WHO | desc: Preparedness | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[220] Percentage of individuals using the Internet | pub=WHO | desc: Percentage of individuals using the Internet | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[222] Existence of respite care for dementia carers | pub=WHO | desc: Existence of respite care for dementia carers | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[241] Joint effects of air pollution attributable deaths | pub=WHO | desc: Joint effects of air pollution attributable deaths | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[248] Congenital syphilis number of cases, reported | pub=WHO | desc: Congenital syphilis number of cases, reported | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[253] Existence of dementia training for volunteers | pub=WHO | desc: Existence of dementia training for volunteers | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[255] Existence of dementia training for school children | pub=WHO | desc: Existence of dementia training for school children | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[263] Coordination | pub=WHO | desc: Coordination | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[264] Risk communication | pub=WHO | desc: Risk communication | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[270] Composite coverage index (%) | pub=WHO | desc: Composite coverage index (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[271] Gender inequality index rank | pub=WHO | desc: Gender inequality index rank | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[272] Number of reported deaths from cholera | pub=WHO | desc: Number of reported deaths from cholera | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[274] Legally-binding controls on lead paint | pub=WHO | desc: Legally-binding controls on lead paint | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[277] Campaign was pre-tested | pub=WHO | desc: Campaign was pre-tested | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[279] Climate change attributable deaths | pub=WHO | desc: Climate change attributable deaths | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[281] Composite coverage index (%) | pub=WHO | desc: Composite coverage index (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[282] Literacy rate among adults aged >= 15 years (%) | pub=WHO | desc: Literacy rate among adults aged >= 15 years (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[283] Cholera case fatality rate | pub=WHO | desc: Cholera case fatality rate | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
