[1100] Importance of measures for enhancing compliance with age limits | pub=WHO | desc: Importance of measures for enhancing compliance with age limits | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1171] Age-standardized mortality rate by cause (per 100 000 population) - Cardiovascular | pub=WHO | desc: Age-standardized mortality rate by cause (per 100 000 population) - Cardiovascular | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1172] Font style, font size and colour of health warnings are mandated for other smoked tobacco packaging | pub=WHO | desc: Font style, font size and colour of health warnings are mandated for other smoked tobacco packaging | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1173] Total environment  attributable DALYs per 100'000 children under 5 years | pub=WHO | desc: Total environment  attributable DALYs per 100'000 children under 5 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1174] DALYs attributable to the environment in children under 5 years (%) | pub=WHO | desc: DALYs attributable to the environment in children under 5 years (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1175] Age-standardized deaths attributable to the environment (per 100 000 population) | pub=WHO | desc: Age-standardized deaths attributable to the environment (per 100 000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1176] Disability-adjusted life years (DALYs) attributable to the environment | pub=WHO | desc: Disability-adjusted life years (DALYs) attributable to the environment | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1177] Distribution of causes of death among children aged <5 years (%) - Other diseases | pub=WHO | desc: Distribution of causes of death among children aged <5 years (%) - Other diseases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1178] Distribution of causes of death among children aged <5 years (%) - Neonatal sepsis | pub=WHO | desc: Distribution of causes of death among children aged <5 years (%) - Neonatal sepsis | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1179] Distribution of causes of death among children aged <5 years (%) - Congenital anomalies | pub=WHO | desc: Distribution of causes of death among children aged <5 years (%) - Congenital anomalies | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1180] Distribution of causes of death among children aged <5 years (%) - Birth asphyxia | pub=WHO | desc: Distribution of causes of death among children aged <5 years (%) - Birth asphyxia | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1181] Alcohol, heavy episodic drinking (15+) past 30 days (%), age-standardized | pub=WHO | desc: Alcohol, heavy episodic drinking (15+) past 30 days (%), age-standardized | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1182] Alcohol, heavy episodic drinking (15+) past 30 days (%), age-standardized with 95%CI | pub=WHO | desc: Alcohol, heavy episodic drinking (15+) past 30 days (%), age-standardized with 95%CI | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1183] Total environment attributable DALYs ('000) in children under 5 years | pub=WHO | desc: Total environment attributable DALYs ('000) in children under 5 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1184] Age-standardized mortality rate by cause (per 100 000 population) - Cancer | pub=WHO | desc: Age-standardized mortality rate by cause (per 100 000 population) - Cancer | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1185] Total environment attributable deaths ('000) in children under 5 years | pub=WHO | desc: Total environment attributable deaths ('000) in children under 5 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1186] Total environment attributable DALYs  in children under 5 years | pub=WHO | desc: Total environment attributable DALYs  in children under 5 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1187] Number of standard alcoholic drinks displayed on containers | pub=WHO | desc: Number of standard alcoholic drinks displayed on containers | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1188] Alcohol-attributable Years of Life Lost (YLL) score | pub=WHO | desc: Alcohol-attributable Years of Life Lost (YLL) score | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1189] Alcohol-attributable fractions (15+), liver cirrhosis deaths (%) | pub=WHO | desc: Alcohol-attributable fractions (15+), liver cirrhosis deaths (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1190] Distribution of causes of death among children aged <5 years (%) - Malaria | pub=WHO | desc: Distribution of causes of death among children aged <5 years (%) - Malaria | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1191] Distribution of causes of death among children aged <5 years (%) - Pneumonia | pub=WHO | desc: Distribution of causes of death among children aged <5 years (%) - Pneumonia | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1192] Distribution of causes of death among children aged <5 years (%) - HIV/AIDS | pub=WHO | desc: Distribution of causes of death among children aged <5 years (%) - HIV/AIDS | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1193] Distribution of years of life lost by broader causes (%) - Injuries | pub=WHO | desc: Distribution of years of life lost by broader causes (%) - Injuries | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1194] Alcohol, regional per capita (15+) consumption (in litres of pure alcohol) | pub=WHO | desc: Alcohol, regional per capita (15+) consumption (in litres of pure alcohol) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1195] Length of stay for inpatient long-term residential treatment, days | pub=WHO | desc: Length of stay for inpatient long-term residential treatment, days | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1196] Opioid agonist pharmacotherapy for the treatment of opioid dependence (detoxification or maintenance | pub=WHO | desc: Opioid agonist pharmacotherapy for the treatment of opioid dependence (detoxification or maintenance) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1197] Registration of naloxone for injection for opioid overdose | pub=WHO | desc: Registration of naloxone for injection for opioid overdose | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1198] Buprenorphine used for the treatment of opioid dependence | pub=WHO | desc: Buprenorphine used for the treatment of opioid dependence | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1199] Buprenorphine used for detoxification or maintenance | pub=WHO | desc: Buprenorphine used for detoxification or maintenance | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
