[900] Alcohol-related road traffic crashes (% of all traffic crashes) | pub=WHO | desc: Alcohol-related road traffic crashes (% of all traffic crashes) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[911] Affordability - percentage of GDP per capita required to purchase 2000 cigarettes of the most sold b | pub=WHO | desc: Affordability - percentage of GDP per capita required to purchase 2000 cigarettes of the most sold brand | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[912] Tax structure: Minimum specific tax applied in ad valorem or mixed excise regime | pub=WHO | desc: Tax structure: Minimum specific tax applied in ad valorem or mixed excise regime | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[913] Age-standardized DALYs, road traffic accidents, per 100,000 | pub=WHO | desc: Age-standardized DALYs, road traffic accidents, per 100,000 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[914] Age-standardized death rates, alcohol use disorders, per 100,000 | pub=WHO | desc: Age-standardized death rates, alcohol use disorders, per 100,000 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[915] Age-standardized death rates, breast cancer, per 100,000 | pub=WHO | desc: Age-standardized death rates, breast cancer, per 100,000 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[916] Age-standardized death rates, liver cirrhosis, per 100,000 | pub=WHO | desc: Age-standardized death rates, liver cirrhosis, per 100,000 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[917] Age-standardized death rates, mouth and oropharynx cancer, per 100,000 | pub=WHO | desc: Age-standardized death rates, mouth and oropharynx cancer, per 100,000 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[918] Age-standardized death rates, self-inflicted injury, per 100,000 | pub=WHO | desc: Age-standardized death rates, self-inflicted injury, per 100,000 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[919] Age-standardized death rates, violence, per 100,000 | pub=WHO | desc: Age-standardized death rates, violence, per 100,000 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[920] Liver cirrhosis, age-standardized death rates (15+), per 100,000 population | pub=WHO | desc: Liver cirrhosis, age-standardized death rates (15+), per 100,000 population | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[921] Tax structure: Greater reliance on specific tax in mixed excise regime | pub=WHO | desc: Tax structure: Greater reliance on specific tax in mixed excise regime | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[922] Most sold brand of cigarettes - price in currency reported | pub=WHO | desc: Most sold brand of cigarettes - price in currency reported | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[923] Premium brand of cigarettes - price in US$ at official exchange rates | pub=WHO | desc: Premium brand of cigarettes - price in US$ at official exchange rates | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[924] Existence of national reference level for dwellings and buildings with high public occupancy | pub=WHO | desc: Existence of national reference level for dwellings and buildings with high public occupancy | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[925] Existence of national reference level for buildings with high public occupancy | pub=WHO | desc: Existence of national reference level for buildings with high public occupancy | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[926] Financial support provided for mitigation (existing dwellings) | pub=WHO | desc: Financial support provided for mitigation (existing dwellings) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[927] Average - taxes as a % of cigarette price - import duties | pub=WHO | desc: Average - taxes as a % of cigarette price - import duties | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[928] Most sold brand of cigarettes - taxes as a % of price - import duties | pub=WHO | desc: Most sold brand of cigarettes - taxes as a % of price - import duties | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[929] Most sold brand of cigarettes - taxes as a % of price - other taxes | pub=WHO | desc: Most sold brand of cigarettes - taxes as a % of price - other taxes | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[930] Premium brand of cigarettes - price in international dollars | pub=WHO | desc: Premium brand of cigarettes - price in international dollars | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[931] Enabling access to education where learning facilities are limited | pub=WHO | desc: Enabling access to education where learning facilities are limited | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[932] Government-supported health internet sites provide information in multiple languages | pub=WHO | desc: Government-supported health internet sites provide information in multiple languages | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[933] Regulatory oversight of mobile apps for quality, safety and reliability | pub=WHO | desc: Regulatory oversight of mobile apps for quality, safety and reliability | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[934] Government-sponsored mHealth programmes are being evaluated | pub=WHO | desc: Government-sponsored mHealth programmes are being evaluated | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[935] Restrictions on product placement on national television | pub=WHO | desc: Restrictions on product placement on national television | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[936] Restrictions on product placement on cable television | pub=WHO | desc: Restrictions on product placement on cable television | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[937] Premium brand of cigarettes - price in currency reported | pub=WHO | desc: Premium brand of cigarettes - price in currency reported | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[938] Average - taxes as a % of cigarette price - specific excise | pub=WHO | desc: Average - taxes as a % of cigarette price - specific excise | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[939] Average - taxes as a % of cigarette price - total tax | pub=WHO | desc: Average - taxes as a % of cigarette price - total tax | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[940] Most sold brand of cigarettes - taxes as a % of price - total tax | pub=WHO | desc: Most sold brand of cigarettes - taxes as a % of price - total tax | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[941] Average - taxes as a % of cigarette price - value added tax | pub=WHO | desc: Average - taxes as a % of cigarette price - value added tax | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[942] Restrictions on product placement on national television | pub=WHO | desc: Restrictions on product placement on national television | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[943] Density of outpatient health centres (per 100,000 population) | pub=WHO | desc: Density of outpatient health centres (per 100,000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[944] Estimated number of people with dementia receiving services at outpatient health centre | pub=WHO | desc: Estimated number of people with dementia receiving services at outpatient health centre | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[945] Years of healthy life lost due to disability (YLDs) | pub=WHO | desc: Years of healthy life lost due to disability (YLDs) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[946] External health expenditure (EXT) per capita in US$ | pub=WHO | desc: External health expenditure (EXT) per capita in US$ | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[947] Domestic general government health expenditure (GGHE-D) per capita in US$ | pub=WHO | desc: Domestic general government health expenditure (GGHE-D) per capita in US$ | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[948] Domestic general government health expenditure (GGHE-D) as percentage of general government expendit | pub=WHO | desc: Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[949] Cautions and arrests for drink-driving, per 100,000 population | pub=WHO | desc: Cautions and arrests for drink-driving, per 100,000 population | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[950] Hospital discharges, alcohol-related injuries and poisoning, per 100,000 | pub=WHO | desc: Hospital discharges, alcohol-related injuries and poisoning, per 100,000 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[951] eLearning is used in pre-service education to teach health sciences students | pub=WHO | desc: eLearning is used in pre-service education to teach health sciences students | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[952] National smoking ban in ALL OTHER INDOOR PUBLIC PLACES | pub=WHO | desc: National smoking ban in ALL OTHER INDOOR PUBLIC PLACES | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[953] Compliance with regulations on smoke-free environments (national legislation) | pub=WHO | desc: Compliance with regulations on smoke-free environments (national legislation) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[954] Most sold brand of cigarettes - taxes as a % of price - value added tax | pub=WHO | desc: Most sold brand of cigarettes - taxes as a % of price - value added tax | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[955] Radon in building regulations for existing buildings i.e. renovation/remodeling/major alteration | pub=WHO | desc: Radon in building regulations for existing buildings i.e. renovation/remodeling/major alteration | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[956] Radon concentration measurements for existing buildings | pub=WHO | desc: Radon concentration measurements for existing buildings | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[957] Postnatal care visit within two days of birth (in the three years preceding the survey) (%) | pub=WHO | desc: Postnatal care visit within two days of birth (in the three years preceding the survey) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[958] Postnatal care visit within two days of birth - born outside a health facility (in the x years prece | pub=WHO | desc: Postnatal care visit within two days of birth - born outside a health facility (in the x years preceding the survey) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[959] Existence of official protocols for radon measurements | pub=WHO | desc: Existence of official protocols for radon measurements | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[960] Authorization/accreditation required for official radon measurement providers | pub=WHO | desc: Authorization/accreditation required for official radon measurement providers | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[961] Inclusion of radon in national cancer control strategy | pub=WHO | desc: Inclusion of radon in national cancer control strategy | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[962] Authorization/accreditation required for prevention/mitigation service providers | pub=WHO | desc: Authorization/accreditation required for prevention/mitigation service providers | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[963] Official standards/guidelines for prevention/mitigation | pub=WHO | desc: Official standards/guidelines for prevention/mitigation | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[964] Existence of training/education on prevention/mitigation | pub=WHO | desc: Existence of training/education on prevention/mitigation | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[965] Inclusion of radon measurements in property transactions | pub=WHO | desc: Inclusion of radon measurements in property transactions | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[966] Annual tax revenues - total excise (specific and ad valorem) | pub=WHO | desc: Annual tax revenues - total excise (specific and ad valorem) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[967] Annual tax revenues - import duties and all other taxes (excluding corporate taxes on tobacco compan | pub=WHO | desc: Annual tax revenues - import duties and all other taxes (excluding corporate taxes on tobacco companies) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[968] Intimate partner violence prevalence among ever partnered women (%) | pub=WHO | desc: Intimate partner violence prevalence among ever partnered women (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[969] Proportion of women and girls aged 15 years and older who have been subjected to sexual violence by  | pub=WHO | desc: Proportion of women and girls aged 15 years and older who have been subjected to sexual violence by someone other than a partner in their lifetime since age 15 (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[970] Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%) | pub=WHO | desc: Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[971] Restrictions on sales promotion from producers (parties, events) | pub=WHO | desc: Restrictions on sales promotion from producers (parties, events) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[972] Restrictions on sales promotion from retailers (sales below cost) | pub=WHO | desc: Restrictions on sales promotion from retailers (sales below cost) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[973] Restrictions on sales promotion from owners of pubs and bars (alcohol for free) | pub=WHO | desc: Restrictions on sales promotion from owners of pubs and bars (alcohol for free) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[974] Applicability of national motorcycle helmet law to all occupants | pub=WHO | desc: Applicability of national motorcycle helmet law to all occupants | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[975] On-premise sales restrictions to intoxicated persons | pub=WHO | desc: On-premise sales restrictions to intoxicated persons | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[976] Restrictions on sales promotion from producers (parties, events) | pub=WHO | desc: Restrictions on sales promotion from producers (parties, events) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[977] Restrictions on product placement on cable television | pub=WHO | desc: Restrictions on product placement on cable television | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[978] On-premise sales restrictions to intoxicated persons | pub=WHO | desc: On-premise sales restrictions to intoxicated persons | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[979] Restrictions on sales promotion from owners of pubs and bars (alcohol for free) | pub=WHO | desc: Restrictions on sales promotion from owners of pubs and bars (alcohol for free) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[980] Polio immunization coverage among one-year-olds (%) | pub=WHO | desc: Polio immunization coverage among one-year-olds (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[981] Domestic private health expenditure (PVT-D) as percentage of current health expenditure (CHE) (%) | pub=WHO | desc: Domestic private health expenditure (PVT-D) as percentage of current health expenditure (CHE) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[982] National eHealth strategy refers to objectives of UHC | pub=WHO | desc: National eHealth strategy refers to objectives of UHC | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[983] Tertiary institutions provide students of health sciences with training on eHealth | pub=WHO | desc: Tertiary institutions provide students of health sciences with training on eHealth | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[984] Institutions offer in-service training to health professionals on ICT for health | pub=WHO | desc: Institutions offer in-service training to health professionals on ICT for health | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[985] Providing incentives and guidance for innovation research and evaluation of health | pub=WHO | desc: Providing incentives and guidance for innovation research and evaluation of health | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[986] Tax administration: Bans or limits on duty free imports by travellers | pub=WHO | desc: Tax administration: Bans or limits on duty free imports by travellers | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[987] Tobacco tax structure: Price dispersion: Share of cheapest brand price in premium brand price (%) (t | pub=WHO | desc: Tobacco tax structure: Price dispersion: Share of cheapest brand price in premium brand price (%) (the higher the % the smaller the gap) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[988] Tobacco tax structure: Specific tax component automatically adjusted for inflation (or other) | pub=WHO | desc: Tobacco tax structure: Specific tax component automatically adjusted for inflation (or other) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[989] Excise tax as a per cent of the retail price of alcoholic beverages | pub=WHO | desc: Excise tax as a per cent of the retail price of alcoholic beverages | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[990] Excise tax as a per cent of the total retail price for 1 litre of pure alcohol | pub=WHO | desc: Excise tax as a per cent of the total retail price for 1 litre of pure alcohol | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[991] Estimated road traffic death rate (per 100 000 population) | pub=WHO | desc: Estimated road traffic death rate (per 100 000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[992] Alcohol expenditure as a per cent of total household expenditure | pub=WHO | desc: Alcohol expenditure as a per cent of total household expenditure | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[993] Alcohol expenditure as a per cent of total household expenditure | pub=WHO | desc: Alcohol expenditure as a per cent of total household expenditure | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[994] Availability of funding for national road safety strategy | pub=WHO | desc: Availability of funding for national road safety strategy | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[995] Point prevalence (%), alcohol use disorders, 15+ years | pub=WHO | desc: Point prevalence (%), alcohol use disorders, 15+ years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[996] Blood Alcohol Concentration (BAC) limit for drivers | pub=WHO | desc: Blood Alcohol Concentration (BAC) limit for drivers | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[997] Existence of a universal access telephone number for pre-hospital care | pub=WHO | desc: Existence of a universal access telephone number for pre-hospital care | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[998] Government unit/official responsible for treatment of substance use disorders | pub=WHO | desc: Government unit/official responsible for treatment of substance use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[999] Involvement of representatives of affected or targeted populations in the development and implementa | pub=WHO | desc: Involvement of representatives of affected or targeted populations in the development and implementation of national programmes for treatment of substance use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
