[1000] Involvement of representatives of affected or targeted populations in the development and implementa | pub=WHO | desc: Involvement of representatives of affected or targeted populations in the development and implementation of national programmes for prevention for alcohol and drugs | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1013] Government unit for substance use disorder treatment | pub=WHO | desc: Government unit for substance use disorder treatment | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1014] Policy documents on the pharmacological treatment of substance use disorders | pub=WHO | desc: Policy documents on the pharmacological treatment of substance use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1015] Guidelines on the pharmacological treatment of substance use disorders | pub=WHO | desc: Guidelines on the pharmacological treatment of substance use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1016] Point prevalence (%), drug use disorders, 15+ years | pub=WHO | desc: Point prevalence (%), drug use disorders, 15+ years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1017] Most sold brand of cigarettes - taxes as a % of price - specific excise | pub=WHO | desc: Most sold brand of cigarettes - taxes as a % of price - specific excise | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1018] Mandatory mitigation measures if legal value is exceeded (existing buildings) | pub=WHO | desc: Mandatory mitigation measures if legal value is exceeded (existing buildings) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1019] Pre-service eLearning programmes have been evaluated | pub=WHO | desc: Pre-service eLearning programmes have been evaluated | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1020] eLearning programmes for in-service training of health professionals have been evaluated | pub=WHO | desc: eLearning programmes for in-service training of health professionals have been evaluated | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1021] Insitutional educational policy does not include eLearning as an approach to teaching health science | pub=WHO | desc: Insitutional educational policy does not include eLearning as an approach to teaching health sciences | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1022] Compulsory treatment for people with alcohol use disorders in the criminal justice system | pub=WHO | desc: Compulsory treatment for people with alcohol use disorders in the criminal justice system | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1023] Five-year change in government resources for treatment of substance use disorders | pub=WHO | desc: Five-year change in government resources for treatment of substance use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1024] Not possible to gain a health sciences degree entirely through eLearning | pub=WHO | desc: Not possible to gain a health sciences degree entirely through eLearning | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1025] Compulsory treatment for people with drug use disorders in the criminal justice system | pub=WHO | desc: Compulsory treatment for people with drug use disorders in the criminal justice system | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1026] Five-year change in government resources for prevention for substance use | pub=WHO | desc: Five-year change in government resources for prevention for substance use | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1027] Financing methods for treatment for alcohol use disorders | pub=WHO | desc: Financing methods for treatment for alcohol use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1028] Lack of demand by health professionals and patients | pub=WHO | desc: Lack of demand by health professionals and patients | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1029] Lack of national or international standards for interoperability of EHR | pub=WHO | desc: Lack of national or international standards for interoperability of EHR | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1030] To define medical jurisdiction, liability or reimbursement of eHealth services such as telehealth | pub=WHO | desc: To define medical jurisdiction, liability or reimbursement of eHealth services such as telehealth | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1031] To address patient safety and quality of care based on data quality, data transmission standards, or | pub=WHO | desc: To address patient safety and quality of care based on data quality, data transmission standards, or clinical competency criteria | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1032] Which governs the sharing of digital data between health professionals in other health services in t | pub=WHO | desc: Which governs the sharing of digital data between health professionals in other health services in the same country through the use of an EHR | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1033] Sector for residential long-term rehabilitation of alcohol use disorders | pub=WHO | desc: Sector for residential long-term rehabilitation of alcohol use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1034] Sector for inpatient detoxification of drug use disorders | pub=WHO | desc: Sector for inpatient detoxification of drug use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1035] Specialized treatment facilities for substance use disorders | pub=WHO | desc: Specialized treatment facilities for substance use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1036] Sector for substitution maintenance therapy of opioid dependence | pub=WHO | desc: Sector for substitution maintenance therapy of opioid dependence | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1037] Age-standardized death rates, cerebrovascular disease, per 100,000 | pub=WHO | desc: Age-standardized death rates, cerebrovascular disease, per 100,000 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1038] Lack of legislation or regulations covering use of EHR | pub=WHO | desc: Lack of legislation or regulations covering use of EHR | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1039] To protect privacy of personally identifiable data of individuals irrespective of whether it is pape | pub=WHO | desc: To protect privacy of personally identifiable data of individuals irrespective of whether it is paper or digital format | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1040] Government benefits for alcohol use disorders, subsidy or disability pension | pub=WHO | desc: Government benefits for alcohol use disorders, subsidy or disability pension | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1041] Financing methods for treatment for drug use disorders | pub=WHO | desc: Financing methods for treatment for drug use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1042] Sector for inpatient treatment of alcohol dependence | pub=WHO | desc: Sector for inpatient treatment of alcohol dependence | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1043] Government benefits for people with alcohol use disorders | pub=WHO | desc: Government benefits for people with alcohol use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1044] Sector for outpatient treatment of alcohol dependence | pub=WHO | desc: Sector for outpatient treatment of alcohol dependence | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1045] Main sector for treatment for alcohol use disorders | pub=WHO | desc: Main sector for treatment for alcohol use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1046] Treatment programmes for children and adolescents with alcohol use disorders | pub=WHO | desc: Treatment programmes for children and adolescents with alcohol use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1047] Treatment programmes for children and adolescents with drug use disorders | pub=WHO | desc: Treatment programmes for children and adolescents with drug use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1048] Strategy includes objectives as to how telehealth contributes to UHC | pub=WHO | desc: Strategy includes objectives as to how telehealth contributes to UHC | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1049] Evaluation of any government-sponsored telehealth programmes | pub=WHO | desc: Evaluation of any government-sponsored telehealth programmes | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1050] Enabling access to education where learning facilities are limited | pub=WHO | desc: Enabling access to education where learning facilities are limited | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1051] eLearning used for in-service training of health professionals | pub=WHO | desc: eLearning used for in-service training of health professionals | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1052] eLearning courses accredited by continuing medical education or professional licensing bodies | pub=WHO | desc: eLearning courses accredited by continuing medical education or professional licensing bodies | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1053] To protect the privacy of individuals' health-related  data held in electronic format as an EHR | pub=WHO | desc: To protect the privacy of individuals' health-related  data held in electronic format as an EHR | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1054] Existence of national radon risk communication strategy | pub=WHO | desc: Existence of national radon risk communication strategy | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1055] Congenital syphilis rate per 100 000 live births, reported | pub=WHO | desc: Congenital syphilis rate per 100 000 live births, reported | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1056] Annual tax revenues - value added tax (vat) and other sales taxes | pub=WHO | desc: Annual tax revenues - value added tax (vat) and other sales taxes | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1057] Restrictions on sales promotion from retailers (sales below cost) | pub=WHO | desc: Restrictions on sales promotion from retailers (sales below cost) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1058] Which allows for the sharing of personal and health data between research entities | pub=WHO | desc: Which allows for the sharing of personal and health data between research entities | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1059] Which allows individuals to demand that their own data be corrected  when held in an EHR if it is kn | pub=WHO | desc: Which allows individuals to demand that their own data be corrected  when held in an EHR if it is known to be inaccurate | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1060] Treatment setting for substance use disorders, most common | pub=WHO | desc: Treatment setting for substance use disorders, most common | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1061] Distribution of road traffic deaths by type of road user (%) | pub=WHO | desc: Distribution of road traffic deaths by type of road user (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1062] Government unit/official responsible for prevention for substance use | pub=WHO | desc: Government unit/official responsible for prevention for substance use | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1063] Individuals have the legal right to specify which health-related data from their EHR can be shared w | pub=WHO | desc: Individuals have the legal right to specify which health-related data from their EHR can be shared with health professionals of their choice | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1064] Treatment slots for alcohol and drug use disorders, outpatient, per 10 000 | pub=WHO | desc: Treatment slots for alcohol and drug use disorders, outpatient, per 10 000 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1065] Beds for the treatment of substance use disorders, per 100 000 | pub=WHO | desc: Beds for the treatment of substance use disorders, per 100 000 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1066] Length of stay for inpatient short-term treatment, days | pub=WHO | desc: Length of stay for inpatient short-term treatment, days | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1067] Timeframe for maintenance treatment of opioid dependence | pub=WHO | desc: Timeframe for maintenance treatment of opioid dependence | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1068] Specialized treatment services for drug use disoders and HIV/AIDS | pub=WHO | desc: Specialized treatment services for drug use disoders and HIV/AIDS | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1069] Reported treatment coverage for substance dependence | pub=WHO | desc: Reported treatment coverage for substance dependence | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1070] Specialized treatment facilities for alcohol use disorders | pub=WHO | desc: Specialized treatment facilities for alcohol use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1071] Sector for residential long-term rehabilitation of drug use disorders | pub=WHO | desc: Sector for residential long-term rehabilitation of drug use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1072] Specialized treatment services for substance use disorders and TB | pub=WHO | desc: Specialized treatment services for substance use disorders and TB | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1073] Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three | pub=WHO | desc: Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1074] Cautions and arrests for public drunkenness, per 100,000 population | pub=WHO | desc: Cautions and arrests for public drunkenness, per 100,000 population | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1075] Data collection on alcohol-related health indicators | pub=WHO | desc: Data collection on alcohol-related health indicators | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1076] Policy or strategy makes specific reference tothe use of social media in the health domain | pub=WHO | desc: Policy or strategy makes specific reference tothe use of social media in the health domain | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1077] Country has  national policy or strategy regulating the use of big data in the health sector | pub=WHO | desc: Country has  national policy or strategy regulating the use of big data in the health sector | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1078] Country has national policy or strategy regulating the use of big data by private companies | pub=WHO | desc: Country has national policy or strategy regulating the use of big data by private companies | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1079] Public-funded alcohol research/monitoring programmes | pub=WHO | desc: Public-funded alcohol research/monitoring programmes | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1080] Public funds designated for alcohol research/monitoring programmes, in Euros | pub=WHO | desc: Public funds designated for alcohol research/monitoring programmes, in Euros | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1081] Methadone used for the treatment of opioid dependence | pub=WHO | desc: Methadone used for the treatment of opioid dependence | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1082] Screening and brief intervention for substance use in antenatal services | pub=WHO | desc: Screening and brief intervention for substance use in antenatal services | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1083] Recommendations for screening and brief interventions for substance use in primary health care | pub=WHO | desc: Recommendations for screening and brief interventions for substance use in primary health care | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1084] Buprenorphine/naloxone used for the treatment of opioid dependence | pub=WHO | desc: Buprenorphine/naloxone used for the treatment of opioid dependence | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1085] Alcohol-related road traffic crashes with fatalities (% of all road traffic crashes with fatalities) | pub=WHO | desc: Alcohol-related road traffic crashes with fatalities (% of all road traffic crashes with fatalities) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1086] Adopted written national policy on alcohol, year adopted | pub=WHO | desc: Adopted written national policy on alcohol, year adopted | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1087] Adopted written national policy on alcohol, year revised | pub=WHO | desc: Adopted written national policy on alcohol, year revised | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1088] Adopted written national policy on alcohol, year revised | pub=WHO | desc: Adopted written national policy on alcohol, year revised | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1089] Consumer information on alcohol and health at points of sale | pub=WHO | desc: Consumer information on alcohol and health at points of sale | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1090] Educational programmes involving target groups in school curriculum | pub=WHO | desc: Educational programmes involving target groups in school curriculum | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1091] Persons with alcohol use disorders receiving treatment (%) | pub=WHO | desc: Persons with alcohol use disorders receiving treatment (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1092] Country has national policy or strategy on the use of social media by government organizations | pub=WHO | desc: Country has national policy or strategy on the use of social media by government organizations | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1093] Research into new analytical methods needs occur to meet the challenges of working with big data | pub=WHO | desc: Research into new analytical methods needs occur to meet the challenges of working with big data | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1094] Age-standardized DALYs, alcohol and drug use disorders, per 100 000 | pub=WHO | desc: Age-standardized DALYs, alcohol and drug use disorders, per 100 000 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1095] Methadone formulation used for the treatment of opiod dependence | pub=WHO | desc: Methadone formulation used for the treatment of opiod dependence | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1096] Screening and brief intervention for substance use in primary health care | pub=WHO | desc: Screening and brief intervention for substance use in primary health care | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1097] Central coordinating entity for alcohol policy implementation | pub=WHO | desc: Central coordinating entity for alcohol policy implementation | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1098] Cautions and arrests for public drunkenness, per 100,000 population | pub=WHO | desc: Cautions and arrests for public drunkenness, per 100,000 population | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1099] Effective standards and best practices for data capture not fully established | pub=WHO | desc: Effective standards and best practices for data capture not fully established | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
