[600] Compliance of ban on advertising on local magazines and newspapers | pub=WHO | desc: Compliance of ban on advertising on local magazines and newspapers | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[634] Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based | pub=WHO | desc: Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[635] Births attended by skilled health personnel, among girls aged 15-19 (%) | pub=WHO | desc: Births attended by skilled health personnel, among girls aged 15-19 (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[636] Smear-positive tuberculosis treatment-success rate (%) | pub=WHO | desc: Smear-positive tuberculosis treatment-success rate (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[637] Maternal mortality ratio (per 100 000 live births) - Country reported estimates | pub=WHO | desc: Maternal mortality ratio (per 100 000 live births) - Country reported estimates | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[638] Screening and brief interventions for substance use and substance use disorders | pub=WHO | desc: Screening and brief interventions for substance use and substance use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[639] Existence of standards/ guidelines/ protocols for prevention and risk reduction of dementia | pub=WHO | desc: Existence of standards/ guidelines/ protocols for prevention and risk reduction of dementia | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[640] Existence of standards/ guidelines/ protocols for treatment and support of carers and families of pe | pub=WHO | desc: Existence of standards/ guidelines/ protocols for treatment and support of carers and families of people with dementia | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[641] Existence of standards/ guidelines/ protocols of care in hospital for people with dementia | pub=WHO | desc: Existence of standards/ guidelines/ protocols of care in hospital for people with dementia | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[642] Identification of different sectors in dementia care coordination (Civil society) | pub=WHO | desc: Identification of different sectors in dementia care coordination (Civil society) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[643] Number of new leprosy cases with G2D among children (less than 15 years of age) | pub=WHO | desc: Number of new leprosy cases with G2D among children (less than 15 years of age) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[644] Reported number of individuals treated for onchocerciasis | pub=WHO | desc: Reported number of individuals treated for onchocerciasis | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[645] Overweight numbers among children under 5 years of age (thousands), model-based estimates | pub=WHO | desc: Overweight numbers among children under 5 years of age (thousands), model-based estimates | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[646] Proportion of children aged 6-23 months who receive a minimum acceptable diet | pub=WHO | desc: Proportion of children aged 6-23 months who receive a minimum acceptable diet | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[647] Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based | pub=WHO | desc: Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[648] Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based es | pub=WHO | desc: Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[649] Severe wasted prevalence among children under 5 years of age (%), model-based estimates | pub=WHO | desc: Severe wasted prevalence among children under 5 years of age (%), model-based estimates | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[650] Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), model-based estim | pub=WHO | desc: Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), model-based estimates | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[651] Smear-positive tuberculosis case-detection rate (%) | pub=WHO | desc: Smear-positive tuberculosis case-detection rate (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[652] Prevention activities for substance use disorders, main focus | pub=WHO | desc: Prevention activities for substance use disorders, main focus | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[653] Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey- | pub=WHO | desc: Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[654] Implementation level [national/subnational] of dementia legislation | pub=WHO | desc: Implementation level [national/subnational] of dementia legislation | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[655] Standards of care for health professionals, human rights | pub=WHO | desc: Standards of care for health professionals, human rights | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[656] Regular reports on epidemiological and service delivery data for substance use | pub=WHO | desc: Regular reports on epidemiological and service delivery data for substance use | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[657] System of monitoring alcohol involvement in forensic pathology | pub=WHO | desc: System of monitoring alcohol involvement in forensic pathology | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[658] Epidemiological data collection system for substance use among children and adolescents | pub=WHO | desc: Epidemiological data collection system for substance use among children and adolescents | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[659] Service delivery data collection system for substance use disorders | pub=WHO | desc: Service delivery data collection system for substance use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[660] Existence of legislation to file appeals protecting the rights of people with dementia | pub=WHO | desc: Existence of legislation to file appeals protecting the rights of people with dementia | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[661] Existence of legislation to promote monitoring of human rights conditions of people with dementia in | pub=WHO | desc: Existence of legislation to promote monitoring of human rights conditions of people with dementia in facilities where they reside | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[662] Existence of legislation to end coercieve practices for people with dementia | pub=WHO | desc: Existence of legislation to end coercieve practices for people with dementia | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[663] Existence of legislation to end discrimination against people with dementia | pub=WHO | desc: Existence of legislation to end discrimination against people with dementia | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[664] Existence of dementia standards/ guidelines/ protocols | pub=WHO | desc: Existence of dementia standards/ guidelines/ protocols | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[665] Alcohol, consumption of pure alcohol by type of beverage (%) | pub=WHO | desc: Alcohol, consumption of pure alcohol by type of beverage (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[666] Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type | pub=WHO | desc: Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[667] Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average | pub=WHO | desc: Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[668] Alcohol, estimate of five-year change in recorded per capita (15+) consumption 2006-2010 | pub=WHO | desc: Alcohol, estimate of five-year change in recorded per capita (15+) consumption 2006-2010 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[669] Alcohol, total (recorded 3 year average + unrecorded) per capita (15+) consumption (in litres of pur | pub=WHO | desc: Alcohol, total (recorded 3 year average + unrecorded) per capita (15+) consumption (in litres of pure alcohol) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[670] Alcohol, total (recorded 3 year average + unrecorded) per capita (15+) consumption (in litres of pur | pub=WHO | desc: Alcohol, total (recorded 3 year average + unrecorded) per capita (15+) consumption (in litres of pure alcohol) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[671] Implementation level of dementia standards/ guidelines/ protocols (National) | pub=WHO | desc: Implementation level of dementia standards/ guidelines/ protocols (National) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[672] Existence of standards/ guidelines/ protocols for palliative and end-of-life care for people with de | pub=WHO | desc: Existence of standards/ guidelines/ protocols for palliative and end-of-life care for people with dementia | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[673] Antiretroviral therapy coverage among people with advanced HIV infection (%), WHO 2006 guidelines | pub=WHO | desc: Antiretroviral therapy coverage among people with advanced HIV infection (%), WHO 2006 guidelines | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[674] Government unit for substance use disorder prevention | pub=WHO | desc: Government unit for substance use disorder prevention | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[675] Health professionals providing treatment for alcohol and drug use disorders | pub=WHO | desc: Health professionals providing treatment for alcohol and drug use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[676] Health professionals mostly involved in treatment of substance use disorders | pub=WHO | desc: Health professionals mostly involved in treatment of substance use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[677] Underweight numbers among children under 5 years of age (millions), model-based estimates | pub=WHO | desc: Underweight numbers among children under 5 years of age (millions), model-based estimates | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[678] Underweight prevalence among children under 5 years of age (%), model-based estimates | pub=WHO | desc: Underweight prevalence among children under 5 years of age (%), model-based estimates | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[679] Treatment for tobacco dependence available in the community | pub=WHO | desc: Treatment for tobacco dependence available in the community | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[680] Treatment for tobacco dependence available in hospitals | pub=WHO | desc: Treatment for tobacco dependence available in hospitals | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[681] Treatment for tobacco dependence available in offices of health professionals | pub=WHO | desc: Treatment for tobacco dependence available in offices of health professionals | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[682] System of monitoring drugs involvement in forensic pathology | pub=WHO | desc: System of monitoring drugs involvement in forensic pathology | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[683] Groups and agencies for the prevention of substance use disorders | pub=WHO | desc: Groups and agencies for the prevention of substance use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[684] Epidemiological data collection system for substance use among children and adolescents | pub=WHO | desc: Epidemiological data collection system for substance use among children and adolescents | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[685] Ban on tobacco companies funding or making contributions (including in-kind contributions) to smokin | pub=WHO | desc: Ban on tobacco companies funding or making contributions (including in-kind contributions) to smoking prevention media campaigns, including those directed at youth | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[686] Subnational laws or regulations exist banning some or all types of tobacco advertising, promotion an | pub=WHO | desc: Subnational laws or regulations exist banning some or all types of tobacco advertising, promotion and sponsorship | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[687] Law requires fines for violations of indirect advertising bans | pub=WHO | desc: Law requires fines for violations of indirect advertising bans | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[688] Contraceptive prevalence, among girls aged 15-19 (%) | pub=WHO | desc: Contraceptive prevalence, among girls aged 15-19 (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[689] Prevalence of condom use by adults during higher-risk sex (15-49) (%) | pub=WHO | desc: Prevalence of condom use by adults during higher-risk sex (15-49) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[690] Population aged 15-24 years with comprehensive correct knowledge of HIV/AIDS (%) | pub=WHO | desc: Population aged 15-24 years with comprehensive correct knowledge of HIV/AIDS (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[691] Antiretroviral therapy coverage among people with HIV infection eligible for ART according to 2010 g | pub=WHO | desc: Antiretroviral therapy coverage among people with HIV infection eligible for ART according to 2010 guidelines (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[692] Targets for monitoring implementation of dementia national plan | pub=WHO | desc: Targets for monitoring implementation of dementia national plan | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[693] Identification of other plans in which dementia is integrated (Ageing) | pub=WHO | desc: Identification of other plans in which dementia is integrated (Ageing) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[694] Identification of other plans in which dementia is integrated (Mental health) | pub=WHO | desc: Identification of other plans in which dementia is integrated (Mental health) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[695] Identification of other plans in which dementia is integrated (NCD) | pub=WHO | desc: Identification of other plans in which dementia is integrated (NCD) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[696] Percentage of sub-national regions covered by dementia plan | pub=WHO | desc: Percentage of sub-national regions covered by dementia plan | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[697] Wasted numbers among children under 5 years of age (millions), model-based estimates | pub=WHO | desc: Wasted numbers among children under 5 years of age (millions), model-based estimates | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[698] Wasted prevalence among children under 5 years of age (%), model-based estimates | pub=WHO | desc: Wasted prevalence among children under 5 years of age (%), model-based estimates | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[699] Treatment for tobacco dependence available in health clinics or other primary care facilities | pub=WHO | desc: Treatment for tobacco dependence available in health clinics or other primary care facilities | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
