[1300] Health warnings on other smoked tobacco packaging do not remove or diminish the liability of the tob | pub=WHO | desc: Health warnings on other smoked tobacco packaging do not remove or diminish the liability of the tobacco industry | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1322] Nursing and midwifery personnel density (per 10 000 population) | pub=WHO | desc: Nursing and midwifery personnel density (per 10 000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1323] Per capita total expenditure on health (PPP int. $) | pub=WHO | desc: Per capita total expenditure on health (PPP int. $) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1324] Extent of implementation of child protection services | pub=WHO | desc: Extent of implementation of child protection services | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1325] Elder abuse: Extent of implementation  of caregiver-support programmes | pub=WHO | desc: Elder abuse: Extent of implementation  of caregiver-support programmes | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1326] Intimate partner violence: Extent of implementation  of dating violence prevention programmes | pub=WHO | desc: Intimate partner violence: Extent of implementation  of dating violence prevention programmes | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1327] Children aged 6-59 months who received vitamin A supplementation (%) | pub=WHO | desc: Children aged 6-59 months who received vitamin A supplementation (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1328] Law mandates that health warnings appear on other smoked tobacco packages | pub=WHO | desc: Law mandates that health warnings appear on other smoked tobacco packages | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1329] Law mandates that health warnings appear on smokeless tobacco packages | pub=WHO | desc: Law mandates that health warnings appear on smokeless tobacco packages | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1330] Health warnings on smokeless tobacco packaging law applys to products whether manufactured domestica | pub=WHO | desc: Health warnings on smokeless tobacco packaging law applys to products whether manufactured domestically imported AND for duty-free sale | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1331] Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average | pub=WHO | desc: Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1332] Health warnings on other smoked tobacco packaging law requires or establishes fines for violations | pub=WHO | desc: Health warnings on other smoked tobacco packaging law requires or establishes fines for violations | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1333] Percentage of principal display area mandated to be covered by health warnings - front and back of o | pub=WHO | desc: Percentage of principal display area mandated to be covered by health warnings - front and back of other smoked tobacco packaging | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1334] Smokeless tobacco packaging and labelling must not use descriptors depicting flavours | pub=WHO | desc: Smokeless tobacco packaging and labelling must not use descriptors depicting flavours | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1335] Other smoked tobacco packaging and labelling must not display quantitative information on emission y | pub=WHO | desc: Other smoked tobacco packaging and labelling must not display quantitative information on emission yields (such as tar nicotine and carbon monoxide) including when used as part of a brand name or trad | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1336] Other smoked tobacco packaging and labelling must display qualitative information on relevant consti | pub=WHO | desc: Other smoked tobacco packaging and labelling must display qualitative information on relevant constituents and emissions | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1337] Smokeless tobacco packaging and labelling must display qualitative information on relevant constitue | pub=WHO | desc: Smokeless tobacco packaging and labelling must display qualitative information on relevant constituents and emissions | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1338] Cigarette packaging and labelling must not display expiry dates | pub=WHO | desc: Cigarette packaging and labelling must not display expiry dates | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1339] Comprehensive and regular reporting of alcohol situation | pub=WHO | desc: Comprehensive and regular reporting of alcohol situation | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1340] 15-years old any alcoholic beverage consumed in past 12 months, (%) | pub=WHO | desc: 15-years old any alcoholic beverage consumed in past 12 months, (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1341] 15-years old first drink at 13 years or younger, (%) | pub=WHO | desc: 15-years old first drink at 13 years or younger, (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1342] 15-years old, any alcoholic beverage consumed at least once a week, (%) | pub=WHO | desc: 15-years old, any alcoholic beverage consumed at least once a week, (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1343] 13-15-years old any alcoholic beverage consumed in past 30 days, (%) | pub=WHO | desc: 13-15-years old any alcoholic beverage consumed in past 30 days, (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1344] The quit line number must appear on smokeless tobacco packaging or labelling | pub=WHO | desc: The quit line number must appear on smokeless tobacco packaging or labelling | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1345] Plain packaging of cigarettes is mandatory (ie. the use of logos colours brand images or promotional | pub=WHO | desc: Plain packaging of cigarettes is mandatory (ie. the use of logos colours brand images or promotional information on packaging other than brand names and product names displayed in a standard colour an | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1346] Percentage of principal display area mandated to be covered by health warnings - front of smokeless  | pub=WHO | desc: Percentage of principal display area mandated to be covered by health warnings - front of smokeless tobacco packaging | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1347] 13-15-years old any alcoholic beverage consumed in past 30 days, (%) | pub=WHO | desc: 13-15-years old any alcoholic beverage consumed in past 30 days, (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1348] Licensing required for imports of alcoholic beverages | pub=WHO | desc: Licensing required for imports of alcoholic beverages | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1349] Ban on deceitful terms on other smoked tobacco packaging | pub=WHO | desc: Ban on deceitful terms on other smoked tobacco packaging | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1350] Cigarette packaging and labelling must not use descriptors depicting flavours | pub=WHO | desc: Cigarette packaging and labelling must not use descriptors depicting flavours | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1351] Other smoked tobacco packaging and labelling must not display quantitative information on emission y | pub=WHO | desc: Other smoked tobacco packaging and labelling must not display quantitative information on emission yields (such as tar nicotine and carbon monoxide) including when used as part of a brand name or trad | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1352] Workplace representatives nationally involved to prevent and address alcohol-related harm | pub=WHO | desc: Workplace representatives nationally involved to prevent and address alcohol-related harm | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1353] National systems for monitoring alcohol consumption and harms | pub=WHO | desc: National systems for monitoring alcohol consumption and harms | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1354] National systems for monitoring alcohol consumption and harms | pub=WHO | desc: National systems for monitoring alcohol consumption and harms | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1355] Comprehensive and regular reporting of alcohol situation | pub=WHO | desc: Comprehensive and regular reporting of alcohol situation | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1356] Smokeless tobacco packaging and labelling must not display expiry dates | pub=WHO | desc: Smokeless tobacco packaging and labelling must not display expiry dates | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1357] The quit line number must appear on cigarette packaging or labelling | pub=WHO | desc: The quit line number must appear on cigarette packaging or labelling | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1358] The quit line number must appear on other smoked tobacco packaging or labelling | pub=WHO | desc: The quit line number must appear on other smoked tobacco packaging or labelling | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1359] Plain packaging of other smoked tobacco products is mandatory (ie. the use of logos colours brand im | pub=WHO | desc: Plain packaging of other smoked tobacco products is mandatory (ie. the use of logos colours brand images or promotional information on packaging other than brand names and product names displayed in a | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1360] Percentage of principal display area mandated to be covered by health warnings - front of cigarette  | pub=WHO | desc: Percentage of principal display area mandated to be covered by health warnings - front of cigarette packaging | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1361] 15-years old, any alcoholic beverage consumed at least once a week, (%) | pub=WHO | desc: 15-years old, any alcoholic beverage consumed at least once a week, (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1362] Alcohol use disorders (15+), 12 month prevalence (%), age standardized, with 95%CI | pub=WHO | desc: Alcohol use disorders (15+), 12 month prevalence (%), age standardized, with 95%CI | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1363] 15-19 years old heavy episodic drinkers (drinkers only), % | pub=WHO | desc: 15-19 years old heavy episodic drinkers (drinkers only), % | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1364] Civil registration coverage of causes of deaths (%) | pub=WHO | desc: Civil registration coverage of causes of deaths (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1365] Number of diarrhoea deaths from inadequate sanitation | pub=WHO | desc: Number of diarrhoea deaths from inadequate sanitation | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1366] Attributable fraction of diarrhoea to inadequate sanitation | pub=WHO | desc: Attributable fraction of diarrhoea to inadequate sanitation | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1367] Water, sanitation and hygiene attributable deaths per 100'000 capita | pub=WHO | desc: Water, sanitation and hygiene attributable deaths per 100'000 capita | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1368] How many health warnings are approved by the law for cigarette packaging? | pub=WHO | desc: How many health warnings are approved by the law for cigarette packaging? | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1369] Cigarette packaging and labelling must not use figurative or other signs including colors or numbers | pub=WHO | desc: Cigarette packaging and labelling must not use figurative or other signs including colors or numbers as substitutes for prohibited misleading terms and descriptors | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1370] Percentage of principal display area mandated to be covered by health warnings - front and back of c | pub=WHO | desc: Percentage of principal display area mandated to be covered by health warnings - front and back of cigarette packaging | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1371] Legal obligation for schools to include alcohol use prevention | pub=WHO | desc: Legal obligation for schools to include alcohol use prevention | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1372] Licenses issued for wholesale/distribution, change since 2010 | pub=WHO | desc: Licenses issued for wholesale/distribution, change since 2010 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1373] Cancer, age-standardized death rates (15+), per 100,000 population | pub=WHO | desc: Cancer, age-standardized death rates (15+), per 100,000 population | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1374] National system of epidemiological data collection for alcohol use | pub=WHO | desc: National system of epidemiological data collection for alcohol use | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1375] National system of data collection based on health service delivery | pub=WHO | desc: National system of data collection based on health service delivery | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1376] Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI | pub=WHO | desc: Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1377] Monopoly on wholesale /distribution of alcoholic beverages | pub=WHO | desc: Monopoly on wholesale /distribution of alcoholic beverages | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1378] Legal requirement for size of health warning labels | pub=WHO | desc: Legal requirement for size of health warning labels | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1379] Report with epidemiological data on lcohol use and AUDs | pub=WHO | desc: Report with epidemiological data on lcohol use and AUDs | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1380] Alcohol, total  (recorded + unrecorded) per capita (15+) consumption, projections | pub=WHO | desc: Alcohol, total  (recorded + unrecorded) per capita (15+) consumption, projections | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1381] Alcohol, unrecorded per capita (15+) consumption (in litres of pure alcohol) with 95%CI | pub=WHO | desc: Alcohol, unrecorded per capita (15+) consumption (in litres of pure alcohol) with 95%CI | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1382] Alcohol, tourist consumption (in litres of pure alcohol) | pub=WHO | desc: Alcohol, tourist consumption (in litres of pure alcohol) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1383] Alcohol, regional alcohol per capita (15+) consumption (in litres of pure alcohol) | pub=WHO | desc: Alcohol, regional alcohol per capita (15+) consumption (in litres of pure alcohol) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1384] Births attended by skilled health personnel (in the five years preceding the survey) (%) | pub=WHO | desc: Births attended by skilled health personnel (in the five years preceding the survey) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1385] Number of diarrhoea deaths from inadequate water, sanitation and hygiene | pub=WHO | desc: Number of diarrhoea deaths from inadequate water, sanitation and hygiene | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1386] Water, sanitation and hygiene attributable deaths ('000) in children under 5 years | pub=WHO | desc: Water, sanitation and hygiene attributable deaths ('000) in children under 5 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1387] Water, sanitation and hygiene  attributable DALYs per 100'000 children under 5 years | pub=WHO | desc: Water, sanitation and hygiene  attributable DALYs per 100'000 children under 5 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1388] Regional prevalence, AAFs (15+), road traffic crash deaths (%) | pub=WHO | desc: Regional prevalence, AAFs (15+), road traffic crash deaths (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1389] Number of diarrhoea DALYs from inadequate water, sanitation and hygiene | pub=WHO | desc: Number of diarrhoea DALYs from inadequate water, sanitation and hygiene | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1390] Water, sanitation and hygiene  attributable deaths per 100'000 children under 5 years | pub=WHO | desc: Water, sanitation and hygiene  attributable deaths per 100'000 children under 5 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1391] Alcohol, total (recorded 3 year average + unrecorded) per capita (15+) consumption (in litres of pur | pub=WHO | desc: Alcohol, total (recorded 3 year average + unrecorded) per capita (15+) consumption (in litres of pure alcohol) with 95%CI | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1392] Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI | pub=WHO | desc: Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1393] 15-19 years old heavy episodic drinkers (population), % with 95%CI | pub=WHO | desc: 15-19 years old heavy episodic drinkers (population), % with 95%CI | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1394] National guidelines for alcohol problem prevention and counselling at workplaces | pub=WHO | desc: National guidelines for alcohol problem prevention and counselling at workplaces | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1395] National guidelines for alcohol problem prevention and counselling at workplaces | pub=WHO | desc: National guidelines for alcohol problem prevention and counselling at workplaces | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1396] Health warnings on smokeless tobacco packaging do not remove or diminish the liability of the tobacc | pub=WHO | desc: Health warnings on smokeless tobacco packaging do not remove or diminish the liability of the tobacco industry | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1397] Do health warnings on other smoked tobacco packaging describe the harmful effects of tobacco use on  | pub=WHO | desc: Do health warnings on other smoked tobacco packaging describe the harmful effects of tobacco use on health? | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1398] How many health warnings are approved by the law for other smoked tobacco packaging? | pub=WHO | desc: How many health warnings are approved by the law for other smoked tobacco packaging? | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1399] How many health warnings are approved by the law for smokeless tobacco packaging? | pub=WHO | desc: How many health warnings are approved by the law for smokeless tobacco packaging? | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
