[1200] Buprenorphine/naloxone used for detoxification or maintenance | pub=WHO | desc: Buprenorphine/naloxone used for detoxification or maintenance | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1222] UHC Service Coverage sub-index on infectious diseases | pub=WHO | desc: UHC Service Coverage sub-index on infectious diseases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1223] Median availability of selected generic medicines (%) - Private | pub=WHO | desc: Median availability of selected generic medicines (%) - Private | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1224] Median consumer price ratio of selected generic medicines - Private | pub=WHO | desc: Median consumer price ratio of selected generic medicines - Private | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1225] Dentistry personnel density (per 10 000 population) | pub=WHO | desc: Dentistry personnel density (per 10 000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1226] Alcohol-attributable fractions (15+), road traffic crash deaths (%) | pub=WHO | desc: Alcohol-attributable fractions (15+), road traffic crash deaths (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1227] Alcohol-attributable fractions, all-cause deaths (%) | pub=WHO | desc: Alcohol-attributable fractions, all-cause deaths (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1228] Distribution of causes of death among children aged <5 years (%) - Prematurity | pub=WHO | desc: Distribution of causes of death among children aged <5 years (%) - Prematurity | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1229] Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%) | pub=WHO | desc: Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1230] Care-seeking for children with symptoms of acute respiratory infection (%) | pub=WHO | desc: Care-seeking for children with symptoms of acute respiratory infection (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1231] Data availability for UHC index of essential service coverage (ranking) | pub=WHO | desc: Data availability for UHC index of essential service coverage (ranking) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1232] UHC Service Coverage sub-index on service capacity and access | pub=WHO | desc: UHC Service Coverage sub-index on service capacity and access | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1233] UHC Service Coverage sub-index on reproductive, maternal, newborn and child health | pub=WHO | desc: UHC Service Coverage sub-index on reproductive, maternal, newborn and child health | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1234] UV radiation attributable deaths per 100'000 capita | pub=WHO | desc: UV radiation attributable deaths per 100'000 capita | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1235] Extent of implementation of  mental health services for victims of all types of violence | pub=WHO | desc: Extent of implementation of  mental health services for victims of all types of violence | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1236] Do the health warnings on other smoked tobacco packaging include a photograph or graphic? | pub=WHO | desc: Do the health warnings on other smoked tobacco packaging include a photograph or graphic? | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1237] Do the health warnings on smokeless tobacco packaging include a photograph or graphic? | pub=WHO | desc: Do the health warnings on smokeless tobacco packaging include a photograph or graphic? | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1238] Do health warnings appear on each smokeless tobacco package and any outside packaging and labelling  | pub=WHO | desc: Do health warnings appear on each smokeless tobacco package and any outside packaging and labelling used in the retail sale? | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1239] Health warnings on other smoked tobacco packaging law applys to products whether manufactured domest | pub=WHO | desc: Health warnings on other smoked tobacco packaging law applys to products whether manufactured domestically imported AND for duty-free sale | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1240] Community health workers density (per 10 000 population) | pub=WHO | desc: Community health workers density (per 10 000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1241] Density of pharmaceutical personnel (per 10 000 population) | pub=WHO | desc: Density of pharmaceutical personnel (per 10 000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1242] General government expenditure on health as a percentage of total government expenditure | pub=WHO | desc: General government expenditure on health as a percentage of total government expenditure | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1243] Total expenditure on health as a percentage of gross domestic product | pub=WHO | desc: Total expenditure on health as a percentage of gross domestic product | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1244] Private expenditure on health as a percentage of total expenditure on health | pub=WHO | desc: Private expenditure on health as a percentage of total expenditure on health | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1245] Women age 15-49 years who received a health check within 2 days after delivery of their most recent  | pub=WHO | desc: Women age 15-49 years who received a health check within 2 days after delivery of their most recent live birth in the last 2 years (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1246] Extent of implementation of medico-legal services for victims of sexual violence | pub=WHO | desc: Extent of implementation of medico-legal services for victims of sexual violence | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1247] Children aged <5 years with ARI symptoms who took antibiotic treatment (%) | pub=WHO | desc: Children aged <5 years with ARI symptoms who took antibiotic treatment (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1248] Children aged 6-59 months who received vitamin A supplementation (%) | pub=WHO | desc: Children aged 6-59 months who received vitamin A supplementation (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1249] Neonates protected at birth against neonatal tetanus (PAB) (%) | pub=WHO | desc: Neonates protected at birth against neonatal tetanus (PAB) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1250] Density of environment and public health workers (per 10 000 population) | pub=WHO | desc: Density of environment and public health workers (per 10 000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1251] Do health warnings appear on each cigarette package and any outside packaging and labelling used in  | pub=WHO | desc: Do health warnings appear on each cigarette package and any outside packaging and labelling used in the retail sale? | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1252] Per capita government expenditure on health at average exchange rate (US$) | pub=WHO | desc: Per capita government expenditure on health at average exchange rate (US$) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1253] Private prepaid plans as a percentage of private expenditure on health | pub=WHO | desc: Private prepaid plans as a percentage of private expenditure on health | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1254] External resources for health as a percentage of total expenditure on health | pub=WHO | desc: External resources for health as a percentage of total expenditure on health | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1255] Youth violence: Extent of implementation of life-skills and social development programmes | pub=WHO | desc: Youth violence: Extent of implementation of life-skills and social development programmes | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1256] Per capita government expenditure on health (PPP int. $) | pub=WHO | desc: Per capita government expenditure on health (PPP int. $) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1257] General government expenditure on health as a percentage of total expenditure on health | pub=WHO | desc: General government expenditure on health as a percentage of total expenditure on health | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1258] Out-of-pocket expenditure as a percentage of total expenditure on health | pub=WHO | desc: Out-of-pocket expenditure as a percentage of total expenditure on health | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1259] Per capita total expenditure on health at average exchange rate (US$) | pub=WHO | desc: Per capita total expenditure on health at average exchange rate (US$) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1260] Estimates of rates of homicides per 100 000 population | pub=WHO | desc: Estimates of rates of homicides per 100 000 population | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1261] Law mandates that health warnings appear on tobacco packages | pub=WHO | desc: Law mandates that health warnings appear on tobacco packages | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1262] Do the health warnings on cigarette packaging include a photograph or graphic? | pub=WHO | desc: Do the health warnings on cigarette packaging include a photograph or graphic? | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1263] Do health warnings appear on each other smoked tobacco package and any outside packaging and labelli | pub=WHO | desc: Do health warnings appear on each other smoked tobacco package and any outside packaging and labelling used in the retail sale? | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1264] Health warnings on cigarette packaging law applys to products whether manufactured domestically impo | pub=WHO | desc: Health warnings on cigarette packaging law applys to products whether manufactured domestically imported AND for duty-free sale | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1265] Health warnings on cigarette packaging do not remove or diminish the liability of the tobacco indust | pub=WHO | desc: Health warnings on cigarette packaging do not remove or diminish the liability of the tobacco industry | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1266] Alcohol, regional prevalence of alcohol use disorders (%) | pub=WHO | desc: Alcohol, regional prevalence of alcohol use disorders (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1267] Alcohol, total  (recorded + unrecorded) per capita (15+) consumption with 95%CI, projections to 2025 | pub=WHO | desc: Alcohol, total  (recorded + unrecorded) per capita (15+) consumption with 95%CI, projections to 2025 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1268] Alcohol, total  (recorded + unrecorded) per capita (15+) consumption with 95%CI, projections to 2025 | pub=WHO | desc: Alcohol, total  (recorded + unrecorded) per capita (15+) consumption with 95%CI, projections to 2025 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1269] Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average with  | pub=WHO | desc: Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average with 95%CI | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1270] Alcohol, unrecorded per capita (15+) consumption (in litres of pure alcohol) with 95%CI | pub=WHO | desc: Alcohol, unrecorded per capita (15+) consumption (in litres of pure alcohol) with 95%CI | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1271] Alcohol, unrecorded per capita (15+) consumption (in litres of pure alcohol) with 95%CI | pub=WHO | desc: Alcohol, unrecorded per capita (15+) consumption (in litres of pure alcohol) with 95%CI | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1272] Alcohol, total (recorded 3 year average + unrecorded) per capita (15+) consumption (in litres of pur | pub=WHO | desc: Alcohol, total (recorded 3 year average + unrecorded) per capita (15+) consumption (in litres of pure alcohol) with 95%CI | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1273] Alcohol, average daily intake in grams among drinkers, three-year average | pub=WHO | desc: Alcohol, average daily intake in grams among drinkers, three-year average | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1274] Alcohol, average daily intake in grams among drinkers with 95%CI | pub=WHO | desc: Alcohol, average daily intake in grams among drinkers with 95%CI | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1275] Alcohol, total (recorded + unrecorded) per capita (15+) consumption, projected estimates for 2016 | pub=WHO | desc: Alcohol, total (recorded + unrecorded) per capita (15+) consumption, projected estimates for 2016 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1276] Alcohol, total (recorded + unrecorded) per capita (15+) consumption, projected estimates for 2016 | pub=WHO | desc: Alcohol, total (recorded + unrecorded) per capita (15+) consumption, projected estimates for 2016 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1277] Social security expenditure on health as a percentage of general government expenditure on health | pub=WHO | desc: Social security expenditure on health as a percentage of general government expenditure on health | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1278] Out-of-pocket expenditure as a percentage of private expenditure on health | pub=WHO | desc: Out-of-pocket expenditure as a percentage of private expenditure on health | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1279] Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%) | pub=WHO | desc: Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1280] Treatment programmes for women with alcohol use disorders | pub=WHO | desc: Treatment programmes for women with alcohol use disorders | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1281] Pharmacotherapy used for the management of cannabis withdrawal | pub=WHO | desc: Pharmacotherapy used for the management of cannabis withdrawal | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1282] Health warnings on other smoked tobacco packaging describe the harmful effects of tobacco use on hea | pub=WHO | desc: Health warnings on other smoked tobacco packaging describe the harmful effects of tobacco use on health | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1283] Disability-adjusted life years (DALYs) attributable to the environment (%) | pub=WHO | desc: Disability-adjusted life years (DALYs) attributable to the environment (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1284] Total environment attributable deaths in children under 5 years | pub=WHO | desc: Total environment attributable deaths in children under 5 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1285] Total environment  attributable deaths per 100'000 children under 5 years | pub=WHO | desc: Total environment  attributable deaths per 100'000 children under 5 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1286] Congenital Rubella Syndrome - number of reported cases | pub=WHO | desc: Congenital Rubella Syndrome - number of reported cases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1287] Under-five mortality rate (deaths per 1000 live births) | pub=WHO | desc: Under-five mortality rate (deaths per 1000 live births) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1288] Primary data availability for UHC Service Coverage Index (SDG 3.8.1) (%) | pub=WHO | desc: Primary data availability for UHC Service Coverage Index (SDG 3.8.1) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1289] UHC Service Coverage sub-index on noncommunicable diseases | pub=WHO | desc: UHC Service Coverage sub-index on noncommunicable diseases | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1290] Do health warnings on cigarette packaging describe the harmful effects of tobacco use on health? | pub=WHO | desc: Do health warnings on cigarette packaging describe the harmful effects of tobacco use on health? | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1291] Does the law mandate specific health warnings on cigarette packaging? | pub=WHO | desc: Does the law mandate specific health warnings on cigarette packaging? | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1292] Does the law mandate specific health warnings on other smoked tobacco packaging? | pub=WHO | desc: Does the law mandate specific health warnings on other smoked tobacco packaging? | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1293] Health warnings on cigarette packaging law requires or establishes fines for violations | pub=WHO | desc: Health warnings on cigarette packaging law requires or establishes fines for violations | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1294] 15-19 years old total alcohol consumption in litres of pure alcohol | pub=WHO | desc: 15-19 years old total alcohol consumption in litres of pure alcohol | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1295] National guidelines for the prevention and reduction of alcohol-related harm in schools | pub=WHO | desc: National guidelines for the prevention and reduction of alcohol-related harm in schools | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1296] Workplace representatives nationally involved to prevent and address alcohol-related harm | pub=WHO | desc: Workplace representatives nationally involved to prevent and address alcohol-related harm | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1297] Attributable fraction of diarrhoea to inadequate water, sanitation and hygiene | pub=WHO | desc: Attributable fraction of diarrhoea to inadequate water, sanitation and hygiene | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1298] Attributable fraction of diarrhoea to inadequate hygiene | pub=WHO | desc: Attributable fraction of diarrhoea to inadequate hygiene | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1299] Attributable fraction of diarrhoea to inadequate water | pub=WHO | desc: Attributable fraction of diarrhoea to inadequate water | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
