[40] Behavioral Risk Factor Surveillance System (BRFSS) Prevalence Data (2011 to present) | pub=CDC | desc: 2011 to present. BRFSS combined land line and cell phone prevalence data. BRFSS is a continuous, state-based surveillance system that collects information about modifiable risk factors for chronic dis | cols: Question, GeoLocation (address), GeoLocation, ResponseID, BreakOutCategoryID, BreakoutID, TopicId, ClassId, Data_Value_Footnote_Symbol, Data_value_type | tags: brfss, survey, risk, factor, behavioral
[77] Behavioral Risk Factors: Selected Metropolitan Area Risk Trends (SMART) MMSA Prevalence Data (2011 t | pub=CDC | desc: 2011 to present. BRFSS SMART MMSA Prevalence combined land line and cell phone data. The Selected Metropolitan Area Risk Trends (SMART) project uses the Behavioral Risk Factor Surveillance System (BRF | cols: QuestionID, BreakOutCategoryID, GeoLocation, Data_Value_Footnote, DataSource, Data_value_type, Break_Out, BreakoutID, TopicId, ClassId | tags: behavioral, smart, risk, mmsa, brfss, survey
[82] Deaths from Pneumonia and Influenza (P&I) and all deaths, by state and region, National Center For H | pub=data.cdc.gov | cols: Deaths from pneumonia, pecent complete, Deaths from pneumonia and influenza, Deaths from influenza, season, State, Region, geoid, Pecent of deaths due to pneumonia or influenza, All Deaths | tags: mortality, nchs
[83] CDC STATE System Tobacco Legislation - Smokefree Campus | pub=CDC | desc: 1995-2025. Centers for Disease Control and Prevention (CDC). State Tobacco Activities Tracking and Evaluation (STATE) System. Legislation – Smokefree Campuses. The STATE System houses current and hist | cols: MeasureId, TopicTypeId, DisplayOrder, GeoLocation, GeoLocation (address), DataType, MeasureDesc, ProvisionGroupID, GeoLocation (city), ProvisionValue | tags: osh, legislation, policy, smokefree campus, state system, tobacco
[86] 500 Cities: Census Tract-level Data (GIS Friendly Format), 2019 release | pub=CDC | desc: 2017, 2016. Data were provided by the Centers for Disease Control and Prevention (CDC), Division of Population Health, Epidemiology and Surveillance Branch. The project was funded by the Robert Wood J | cols: COREM_CrudePrev, Population2010, Place_TractID, PlaceFIPS, PlaceName, StateAbbr, TEETHLOST_Crude95CI, PAPTEST_Crude95CI, DENTAL_Crude95CI, CANCER_CrudePrev | tags: census, gis, outcomes, prevalence, prevention, tract
[87] Smoking-Attributable Mortality, Morbidity, and Economic Costs (SAMMEC) - Smoking-Attributable Expend | pub=CDC | desc: 2005-2009. SAMMEC - Smoking-Attributable Mortality, Morbidity, and Economic Costs. Smoking-attributable expenditures (SAEs) are excess health care expenditures attributable to cigarette smoking by typ | cols: Data_Value_Footnote_Symbol, Data_Value_Footnote, TopicDesc, LocationAbbr, Topic Type ID, DataSource, TopicType, MeasureDesc, Data_Value_Unit, LocationDesc | tags: osh, sammec, sae, tobacco
[88] Question Inventory on Tobacco (QIT) | pub=OSHData@cdc.gov | desc: 1965, 1966, 1970, 1974-2015, 2017. Centers for Disease Control and Prevention (CDC). Office on Smoking and Health (OSH). Survey Questions (Tobacco Use). The QIT is a compilation of more than 7,000 his | cols: E-Cigarettes, SurveyName, SurveyNameAbbrev, Year, Question, Responses | tags: qit, tobacco, survey questions, office on smoking and health, osh
[101] NOHSS Adult Indicators | pub=CDC | desc: 2012-2020 (even years). Data from BRFSS for indicators of adult oral health for even years from 2012 through 2020. National estimates are represented by the median prevalence among 50 states and the D | cols: Break_Out, SampleSize, Category, LocationAbbr, GeoLocation (state), GeoLocation (zip), GeoLocation (city), GeoLocation (address), SortUSFirst, IndicatorID | tags: division of oral health, nohss, access to care, adult, tooth loss, oral health
[103] Medicaid Coverage Of Cessation Treatments And Barriers To Treatments | pub=CDC | desc: 2008-2024. American Lung Association. Cessation Coverage. Medicaid data compiled by the Centers for Disease Control and Prevention’s Office on Smoking and Health were obtained from the State Tobacco C | cols: Summary_AltValue, TopicTypeId, GeoLocation (address), GeoLocation (city), Summary, MeasureId, GeoLocation (zip), MeasureDesc, Managed Care Plans_AltValue, LocationDesc | tags: cessation coverage, osh, comprehensive medicaid coverage, medicaid coverage of cessation treatment, office on smoking and health, american lung association
[104] Water Fluoridation Statistics - Percent of PWS population receiving fluoridated water | pub=CDC | desc: 2000-2018. Water Fluoridation Statistics is a biennial report of the percentage and number of people receiving fluoridated water from 2000 through 2018, originally published at http://www.cdc.gov/fluo | cols: Year, Category, Geolocation (address), Geolocation (city), States, DataValueAlt, Indicator, LocationAbbr, LocationDesc, Geolocation (zip) | tags: wfrs, division of oral health, healthy people, water fluoridation, oral health, nohss
[111] DASH - Global School-based Student Health Survey (GSHS) | pub=Division of Adolescent School Health (DASH) | desc: 2003-2015. Global School dataset. The Global School-based Student Health Survey (GSHS) was developed by the World Health Organization (WHO) in collaboration with the United Nations' UNICEF, UNESCO, an | cols: StratificationType, GeoLocation (address), Year, DataSource, Topic, Subtopic, ShortQuestionText, Greater_Risk_Question, Description, Data_Value_Symbol | tags: gshs, youth online, survey, student health, risk behavior, global
[113] Behavioral Risk Factors: Selected Metropolitan Area Risk Trends (SMART) County Prevalence Data (2011 | pub=CDC | desc: 2011 to 2012. BRFSS SMART County Prevalence combined land line and cell phone data. The Selected Metropolitan Area Risk Trends (SMART) project uses the Behavioral Risk Factor Surveillance System (BRFS | cols: Data_Value_Footnote, Data_Value_Footnote_Symbol, Data_value_unit, Display_order, Confidence_limit_High, Confidence_limit_Low, Response, Question, Topic, Class | tags: risk, factor, county, smart, ..., behavioral
[114] NNDSS - TABLE 1PP. Viral hemorrhagic fevers, Sabia virus to Zika virus disease, non-congenital | pub=CDC | desc: NNDSS - TABLE 1PP. Viral hemorrhagic fevers, Sabia virus to Zika virus disease, non-congenital – 2022. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. te | cols: Zika virus disease, non-congenital, Cum 2022†, Zika virus disease, non-congenital, Cum 2021†, flag, geocode, Yellow fever, Cum 2022†, Yellow fever, Cum 2021†, flag, Zika virus disease, non-congenital, Current week, flag, Counties, States, Viral hemorrhagic fevers§, Sabia virus¶, Current week, Yellow fever, Current week | tags: nedss, viral hemorrhagic fevers, wonder, yellow fever, nndss, non-congenital
[116] NNDSS - TABLE 1CC. Rabies, Animal to Rabies, Human | pub=CDC | desc: NNDSS - TABLE 1CC. Rabies, Animal to Rabies, Human - 2022. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents. Notes: •  | cols: Rabies, Human, Current week, flag, Location 2, Location 1, Rabies, Animal, Cum 2021†, Rabies, Animal, Cum 2022†, Reporting Area, Rabies, Human, Cum 2022†, flag, MMWR Week, Rabies, Animal, Previous 52 weeks Max†, Rabies, Animal, Current week, flag | tags: human, nedss, nndss, rabies, wonder, 2022
[117] NCHS - Age-adjusted Death Rates for Selected Major Causes of Death | pub=NCHS/DVS | desc: This dataset of U.S. mortality trends since 1900 highlights trends in age-adjusted death rates for five selected major causes of death. Age-adjusted death rates (deaths per 100,000) after 1998 are cal | cols: Age Adjusted Death Rate, Cause, Year | tags: nchs, cause of death, age-adjusted death rate, mortality united states
[121] TABLE III. Deaths in 122 U.S. cities | pub=National Center for Immunization and Respiratory D | desc: TABLE III. Deaths in 122 U.S. cities – 2016. 122 Cities Mortality Reporting System — Each week, the vital statistics offices of 122 cities across the United States report the total number of death cer | cols: All causes, by age (years), 45–64, All causes, by age (years), ≥65, All causes, by age (years), All Ages**, MMWR WEEK, MMWR YEAR, Reporting Area, All causes, by age (years), All Ages**, flag, Location 2 (city), Location 1 (city), Location 2 | tags: pneumonia, 122 cities, 2016, death, influenza, mortality
[122] DASH - Youth Risk Behavior Surveillance System (YRBSS): Middle School | pub=Division of Adolescent School Health (DASH) | desc: 1991-2017. Middle School Dataset. The Youth Risk Behavior Surveillance System (YRBSS) monitors six categories of priority health behaviors among youth and young adults: 1) behaviors that contribute to | cols: Greater_Risk_Low_Confidence_Limit, Topic, DataSource, ShortQuestionText, Greater_Risk_High_Confidence_Limit, Greater_Risk_Data_Value_Footnote, Greater_Risk_Data_Value_Footnote_Symbol, Data_Value_Symbol, Greater_Risk_Question, StratID3 | tags: survey, youth online, yrbs, risk behavior, middle school
[124] CDC STATE System Tobacco Legislation - Smokefree Indoor Air | pub=CDC | desc: 1995-2025. Centers for Disease Control and Prevention (CDC). State Tobacco Activities Tracking and Evaluation (STATE) System. Legislation – Smokefree Indoor Air. The STATE System houses current and hi | cols: ProvisionGroupID, ProvisionID, LocationDesc, TopicDesc, ProvisionDesc, ProvisionValue, Citation, GeoLocation (state), Comments, GeoLocation | tags: smokefree indoor air, state system, tobacco, legislation, osh, policy
[126] NNDSS - TABLE 1MM. Viral hemorrhagic fevers, Chapare virus to Ebola virus | pub=CDC | desc: NNDSS - TABLE 1MM. Viral hemorrhagic fevers, Chapare virus to Ebola virus – 2022. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U. | cols: Viral hemorrhagic fevers§, Crimean-Congo hemorrhagic fever virus**, Current week, flag, Reporting Area Sort, Viral hemorrhagic fevers§, Crimean-Congo hemorrhagic fever virus**, Cum 2022†, Location 2, Viral hemorrhagic fevers§, Chapare virus¶, Current week, Viral hemorrhagic fevers§, Ebola virus††, Cum 2021†, MMWR Week, Viral hemorrhagic fevers§, Chapare virus¶, Current week, flag, Viral hemorrhagic fevers§, Chapare virus¶, Previous 52 weeks Max†, flag, Viral hemorrhagic fevers§, Chapare virus¶, Cum 2022†, flag | tags: nndss, nedss, ebola virus, crimean-congo hemorrhagic fever virus, chapare virus, 2022
[127] NNDSS - TABLE 1KK. Vancomycin-intermediate Staphylococcus aureus to Varicella morbidity | pub=CDC | desc: NNDSS - TABLE 1KK. Vancomycin-intermediate Staphylococcus aureus to Varicella morbidity – 2022. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territori | cols: Varicella morbidity, Cum 2021†, flag, Location 2, Vancomycin-resistant Staphylococcus aureus, Cum 2022†, flag, Counties, States, MMWR Year, Vancomycin-intermediate Staphylococcus aureus, Cum 2021†, flag, Vancomycin-resistant Staphylococcus aureus, Cum 2022†, MMWR Week, Varicella morbidity, Cum 2022† | tags: netss, nndss, 2022, varicella morbidity, wonder, vancomycin-intermediate staphylococcus aureus
[129] NNDSS - TABLE 1OO. Viral hemorrhagic fevers, Lujo virus to Viral hemorrhagic fevers, Marburg virus | pub=CDC | desc: NNDSS - TABLE 1OO. Viral hemorrhagic fevers, Lujo virus to Viral hemorrhagic fevers, Marburg virus – 2022. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S | cols: Viral hemorrhagic fevers§, Marburg virus††, Current week, Viral hemorrhagic fevers§, Marburg virus††, Cum 2022†, flag, Viral hemorrhagic fevers§, Lujo virus¶, Previous 52 weeks Max†, Viral hemorrhagic fevers§, Machupo virus**, Cum 2022†, flag, Viral hemorrhagic fevers§, Machupo virus**, Current week, flag, Viral hemorrhagic fevers§, Lujo virus¶, Cum 2021†, flag, Viral hemorrhagic fevers§, Machupo virus**, Previous 52 weeks Max†, flag, Viral hemorrhagic fevers§, Marburg virus††, Previous 52 weeks Max†, flag, Location 1, Location 2 | tags: machupo virus, lujo virus, 2022, wonder, viral hemorrhagic fevers, nndss
[131] Mental Health Care in the Last 4 Weeks | pub=NCHS/DHIS | desc: The U.S. Census Bureau, in collaboration with five federal agencies, launched the Household Pulse Survey to produce data on the social and economic impacts of Covid-19 on American households. The Hous | cols: Value, Quartile Range, Confidence Interval, HighCI, LowCI, Time Period End Date, Time Period Start Date, Time Period Label, Phase, Subgroup | tags: mental health, covid-19, sdoh-use-of-health-care
[133] NNDSS - TABLE 1II. Tetanus to Trichinellosis | pub=CDC | desc: NNDSS - TABLE 1II. Tetanus to Trichinellosis – 2022. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents. Notes: • These  | cols: Trichinellosis, Cum 2022†, Tetanus, Cum 2021†, flag, Toxic shock snydrome (other than Streptococcal), Current week, flag, Toxic shock snydrome (other than Streptococcal), Previous 52 weeks Max†, Toxic shock snydrome (other than Streptococcal), Cum 2022†, Toxic shock snydrome (other than Streptococcal), Cum 2021†, flag, Trichinellosis, Current week, flag, Trichinellosis, Previous 52 weeks Max†, flag, Trichinellosis, Cum 2021†, Location 1 | tags: trichinellosis, 2022, nedss, netss, nndss, tetanus
[137] NNDSS - TABLE 1JJ. Tuberculosis to Tularemia | pub=CDC | desc: NNDSS - TABLE 1JJ. Tuberculosis to Tularemia – 2022. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents. Notes: • These  | cols: Tuberculosis, Previous 52 weeks Max†, Reporting Area Sort, Location 2, Tularemia, Cum 2021†, flag, Tuberculosis, Cum 2021†, Tuberculosis, Cum 2022†, Tuberculosis, Current week, Tuberculosis, Current week, flag, Reporting Area, Location 1 | tags: netss, nedss, wonder, tularemia, tuberculosis, nndss
[138] NNDSS - TABLE 1NN. Viral hemorrhagic fevers, Guanarito virus to Viral hemorrhagic fevers, Lassa viru | pub=CDC | desc: NNDSS - TABLE 1NN. Viral hemorrhagic fevers, Guanarito virus to Viral hemorrhagic fevers, Lassa virus – 2022. In this Table, provisional cases* of notifiable diseases are displayed for United States,  | cols: MMWR Year, Location 2, Location 1, Viral hemorrhagic fevers§, Lassa virus††, Cum 2022†, flag, Viral hemorrhagic fevers§, Lassa virus††, Cum 2021†, Viral hemorrhagic fevers§, Lassa virus††, Current week, Viral hemorrhagic fevers§, Lassa virus††, Cum 2022†, Viral hemorrhagic fevers§, Junin virus **, Cum 2021†, flag, Viral hemorrhagic fevers§, Junin virus **, Current week, flag, Viral hemorrhagic fevers§, Lassa virus††, Current week, flag | tags: wonder, 2022, guanarito virus, junin virus, lassa virus, nedss
[143] NNDSS - TABLE 1LL. Vibriosis, Confirmed to Vibriosis, Probable | pub=CDC | desc: NNDSS - TABLE 1LL. Vibriosis, Confirmed to Vibriosis, Probable – 2022. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. resident | cols: Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Previous 52 weeks Max†, flag, Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2021†, flag, Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2021†, Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2022†, flag, Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Previous 52 weeks Max†, Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Current week, flag, Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Current week, MMWR Year, Reporting Area, Reporting Area Sort | tags: netss, confirmed, wonder, probable, nndss, vibriosis
[146] U.S. Life Expectancy at Birth by State and Census Tract - 2010-2015 | pub=NCHS/DVS | desc: This dataset includes estimates of U.S. life expectancy at birth by state and census tract for the period 2010-2015 (1). Estimates were produced for 65,662 census tracts, covering the District of Colu | cols: Census Tract Number, County, Life Expectancy Range, Life Expectancy Standard Error, State, Life Expectancy | tags: united states, nvss, nchs, life expectancy, county, census tract
[151] CDC PRAMStat Data for 2009 | pub=CDC | desc: 2009. Centers for Disease Control and Prevention (CDC). PRAMS, the Pregnancy Risk Assessment Monitoring System, is a surveillance system collecting state-specific, population-based data on maternal at | cols: Data_Value_Footnote, Low_Confidence_Limit, High_Confidence_Limit, QuestionId, BreakOutCategoryid, LocationDesc, Topic, Data_Value, Geolocation, Geolocation (city) | tags: morbidity, medicaid, infant health, contraception, breastfeeding, alcohol use
[154] CDC STATE System Tobacco Legislation - Tax | pub=CDC | desc: 1995-2025. Centers for Disease Control and Prevention (CDC). State Tobacco Activities Tracking and Evaluation (STATE) System. Legislation-Tax. The STATE System houses current and historical state-leve | cols: ProvisionDesc, ProvisionGroupID, GeoLocation (state), DisplayOrder, GeoLocation, Enacted_Date, Comments, DataType, Citation, ProvisionValue | tags: legislation, osh, policy, state system, tax, tobacco
[155] Adult Tobacco Consumption In The U.S., 2000-Present | pub=CDC | desc: 2000 to Present. Adult Tobacco Consumption in the U.S. This dataset highlights critical trends in adult total and per capita consumption of both combustible (cigarettes, little cigars, small cigars, p | cols: Population, LocationAbbrev, Domestic, Total, Domestic Per Capita, Imports Per Capita, Total Per Capita, Data Value Unit, Measure, LocationDesc | tags: loose tobacco, per capita, pipe tobacco, roll-your-own tobacco, smokeless, tobacco consumption
[161] CDC STATE System Tobacco Legislation - Licensure | pub=CDC | desc: 1995-2025. Centers for Disease Control and Prevention (CDC). State Tobacco Activities Tracking and Evaluation (STATE) System. Legislation—Licensure. The STATE System houses current and historical stat | cols: DataType, MeasureId, MeasureDesc, GeoLocation (address), ProvisionGroupID, Year, LocationAbbr, LocationDesc, GeoLocation (city), TopicTypeId | tags: legislation, licensure, osh, policy, state system, tobacco
[162] CDC STATE System Tobacco Legislation - Preemption | pub=CDC | desc: 1995-2025. Centers for Disease Control and Prevention (CDC). State Tobacco Activities Tracking and Evaluation (STATE) System. Legislation—Preemption. The STATE System houses current and historical sta | cols: Effective_Date, Enacted_Date, Citation, ProvisionValue, ProvisionDesc, LocationDesc, Quarter, Year, Comments, GeoLocation (zip) | tags: preemption, state system, tobacco, legislation, osh, policy
[164] Behavioral Risk Factors – Vision and Eye Health Surveillance | pub=CDC | desc: 2013-2022. This dataset is a de-identified summary table of vision and eye health data indicators from BRFSS, stratified by all available combinations of age group, race/ethnicity, sex, risk factor an | cols: Geographic Level, Geolocation, SexID, AgeID, QuestionID, TopicID, LocationID, Sample_Size, High_Confidence_Limit, Data_Value_Type | tags: brfss, visual function, glasses, contact lenses
[165] NNDSS - Table I. infrequently reported notifiable diseases | pub=CDC | desc: NNDSS - Table I. infrequently reported notifiable diseases - 2017. In this Table, provisional cases of selected infrequently reported notifiable diseases (<1,000 cases reported during the preceding ye | cols: Total cases reported 2014, flag, Total cases reported 2013, flag, Total cases reported 2013, Total cases reported 2014, Total cases reported  2016, flag, Total cases reported  2016, 5-year weekly average§, flag, Current week, flag, Cum 2017, flag, Cum 2017 | tags: other (wound & unspecified), neuroinvasive and nonneuroinvasive, netss, nedss, mmwr, meningococcal disease (neisseria meningitidis)
[168] National Health and Nutrition Examination Survey (NHANES) – Vision and Eye Health Surveillance | pub=CDC | desc: 1999-2008; 2005-2008. This dataset is a de-identified summary table of vision and eye health data indicators from NHANES, stratified by all available combinations of age group, race/ethnicity, sex, an | cols: Category, Topic, Sample_Size, LocationID, DataSource, StateAbbr, ResponseID, SexID, Geographic Level, RiskFactorID | tags: diabetes, vision exam measures, visual acuity, visual function, blind, glaucoma
[175] CDC STATE System E-Cigarette Legislation - Smokefree Indoor Air | pub=CDC | desc: 1995-2025. Centers for Disease Control and Prevention (CDC). State Tobacco Activities Tracking and Evaluation (STATE) System. E-Cigarette Legislation—Smokefree Indoor Air. The STATE System houses curr | cols: GeoLocation, ProvisionID, DisplayOrder, GeoLocation (address), Effective_Date, Enacted_Date, ProvisionAltValue, Citation, ProvisionValue, ProvisionDesc | tags: policy, smokefree indoor air, state system, e-cigarette, osh, legislation
[179] DASH - Youth Risk Behavior Surveillance System (YRBSS): High School - Excluding Sexual Identity | pub=nccddashinfo@cdc.gov | desc: 1991-2017. High School Dataset. The Youth Risk Behavior Surveillance System (YRBSS) monitors six categories of priority health behaviors among youth and young adults: 1) behaviors that contribute to u | cols: YEAR, LocationAbbr, DataSource, Lesser_Risk_Data_Value, Topic, LocationDesc, StratificationType, QuestionCode, GeoLocation, TopicId | tags: dash, youth risk behavior surveillance system, yrbss, youth risk, behaviors
[180] NNDSS - Table II. Giardiasis to Haemophilus influenza | pub=MMWR, NNDSS, WONDER, NEDSS, NETSS | desc: NNDSS - Table II. Giardiasis to Haemophilus influenza - 2014. In this Table, all conditions with a 5-year average annual national total of more than or equals 1,000 cases but less than or equals 10,00 | cols: Giardiasis, Previous 52 weeks Max, flag, Giardiasis, Cum 2013, flag, Giardiasis, Cum 2013, Giardiasis, Cum 2014, flag, Location 1 (address), Location 2 (city), Giardiasis, Previous 52 weeks Med, Gonorrhea,Previous 52 weeks Med, flag, Gonorrhea, Previous 52 weeks Max, flag, Gonorrhea, Cum 2014, flag | tags: gonorrhea, giardiasis, 2014, nedss, netss, wonder
[181] Heart Disease Mortality Data Among US Adults (35+) by State/Territory and County – 2018-2020 | pub=CDC Division for Heart Disease and Stroke Preventi | desc: 2018 to 2020, 3-year average. Rates are age-standardized. County rates are spatially smoothed. The data can be viewed by sex and race/ethnicity. Data source: National Vital Statistics System. Addition | cols: X_lon, Y_lat, Data_Value, Class, LocationID, Stratification2, TopicID, Topic, LocationDesc, Year | tags: heart, county, counties, cardiovascular disease, cardiovascular, heart disease
[183] Global Tobacco Surveillance System (GTSS) - Global Adult Tobacco Survey (GATS) | pub=CDC | desc: 2008-2017. Centers for Disease Control and Prevention (CDC). Office on Smoking and Health (OSH) – Global Tobacco Surveillance System (GTSS) - Global Adult Tobacco Survey (GATS). The Global Adult Tobac | cols: Indicator, WHO_Region, DataSource, Topic, Year, Country, SurveySite, Mpower, Sex, CountryAbbr | tags: gtss, gats, adult, tobacco, osh
[184] Smoking-Attributable Mortality, Morbidity, and Economic Costs (SAMMEC) - Smoking-Attributable Mortal | pub=CDC | desc: 2005-2009. SAMMEC - Smoking-Attributable Mortality, Morbidity, and Economic Costs. Smoking-attributable mortality (SAM) is the number of deaths caused by cigarette smoking based on diseases for which  | cols: TopicTypeID, TopicID, MeasureID, LocationAbbr, LocationDesc, TopicDesc, DisplayOrder, SubMeasureID, GeoLocation (state), GeoLocation | tags: sammec, osh, sam, tobacco
[187] ASTDD Synopses of State Oral Health Programs - Selected indicators | pub=ASTDD (Association of State and Territorial Dental | desc: 2011-2022. The ASTDD Synopses of State Oral Health Programs contain information useful in tracking states’ efforts to improve oral health and contributions to progress toward the national targets for  | cols: GeoLocation (state), Low_Confidence_Limit, Data_Value_Footnote_Symbol, LocationAbbr, Data_Value_Category, BreakOutID, ResponseID, GeoLocation (zip), Question, Data_Value_Alt | tags: state dental directors, state oral health program characteristics, workforce, policy, school based sealant programs, cleft lip/cleft palate recording
[190] NCHS - Childhood Mortality Rates | pub=NCHS/DVS | desc: This dataset of U.S. mortality trends since 1900 highlights childhood mortality rates by age group for age at death. Age-adjusted death rates (deaths per 100,000) after 1998 are calculated based on th | cols: Year, Age Group, Death Rate | tags: death rates, children, nchs, united states, mortality
[191] 500 Cities: City-level Data (GIS Friendly Format), 2019 release | pub=CDC | desc: 2017, 2016. Data were provided by the Centers for Disease Control and Prevention (CDC), Division of Population Health, Epidemiology and Surveillance Branch. The project was funded by the Robert Wood J | cols: TEETHLOST_AdjPrev, DENTAL_CrudePrev, COREM_AdjPrev, CSMOKING_Crude95CI, HIGHCHOL_Adj95CI, COREW_CrudePrev, DIABETES_Adj95CI, DENTAL_AdjPrev, PAPTEST_CrudePrev, PlaceFIPS | tags: 500cities, behaviors, census, cities, gis, outcomes
