[233] Pothole Claims Data 2014-2 | pub=City of Seattle | cols: Year, Annual pothole-related claims
[303] Q1 2015 Update SAS Companion Animal Save Rate | pub=City of Seattle | cols: Quarter, %, Date
[304] Rapid Ride 2016 May E Line | pub=City of Seattle | cols: Month, RapidRide E Line Headway Adherence
[306] Spend Levy Money Transparently Data TM | pub=City of Seattle | cols: % of Move Seattle levy money spent to date, Month
[307] MVT 12 Mo. Rolling AVG-6 | pub=City of Seattle | cols: Total Incidents, Month & Year, 12mnth Rolling Avg Total
[309] Bus Ridership ( In- Seattle - Spring 2015)-2 | pub=City of Seattle | cols: Reporting Period, In-Seattle Bus Ridership (Avg. Weekday Boardings)
[310] MCPP 2016 2 | pub=City of Seattle | cols: Quarter, Number of Logged MCPP Entries
[311] 10.28 SDOT Consultant | pub=City of Seattle | cols: Total , WMBE Percentage Utilization  , Year , WMBE Dollar 
[312] Safe Routes To School Projects (2016) | pub=City of Seattle | cols: Accumulated number of Safe Routes to School projects completed in 2016, Month
[313] MVT 12 Mo. Rolling AVG-2 | pub=City of Seattle | cols: Month & Year, 12mnth Rolling Avg, Total
[314] Arterials Re- Striped | pub=City of Seattle | cols: Month, Accumulated number of arterial lane miles re-striped
[315] Copy Of Q1 2015 Initial Update For New Electric Vehicle Miles Goal | pub=City of Seattle | cols: Quarter, Date, % 
[316] Pothole Repair Efficiency 2015 Q3 Data TM | pub=City of Seattle | cols: % of Potholes Repaired within 3 Business Days, Month
[317] Freight Throughput Increase Data TM | pub=City of Seattle | cols: Month, % increase in freight throughput on key freight corridors
[318] CP Rolling AVG-Quarter 2 | pub=Seattle Police Department | cols: 12mth Rolling Avg Total, Total Incidents, Month & Year | tags: data, car prowls, spd, crime
[319] 3 - Trees Planted 2016 Final | pub=City of Seattle | cols: Accumulated number of trees planted, Month
[320] 2016 Q3 SLU Streetcar Data-2 | pub=City of Seattle | cols: Date, South Lake Union Street Car Ridership (avg. daily boardings)
[321] Pothole Repair Efficiency 2015 Q1 Data TM-2 | pub=City of Seattle | cols: Month, % of Potholes Repaired within 3 Business Days
[322] Bridge Seismic Retrofits | pub=City of Seattle | cols: % of high priority bridges that have undergone seismic retrofitting with Move Seattle funding, Month
[323] Q4 2015 Update CSB 3 Day Response | pub=City of Seattle | cols: Days, Quarter
[324] Prioritize Pedestrians-2 | pub=City of Seattle | cols: % of arterials citywide in the pedestrian investment network with sidewalks, Month
[325] AAC Widgets | pub=City of Seattle | cols: Miles of arterials re-paved by AAC program, Month
[326] Trees Planted | pub=City of Seattle | cols: Accumulated number of trees planted, Month
[327] Trees Pruned-2 | pub=City of Seattle | cols: Month, Accumulated number of trees pruned
[328] Number Of Fully Planned BRT Corridors | pub=City of Seattle | cols: Accumulated # of Fully Planned BRT Corridors, Month
[329] Crosswalks Remarked | pub=City of Seattle | cols: Month, Accumulated number of Crosswalks Remarked in 2016
[330] Q1 2016 Update CSB Telephone Response Time 60 Seconds Or Less 80  Of The TIme | pub=City of Seattle | cols: Quarter, % 
[331] Public Transportation 2016 | pub=City of Seattle | cols: % of Customer Responses (2014), % of Customer Responses (2016), Over the past few years, do you think Seattle as a whole has gotten better, stayed the same, or gotten worse in the ability to get around by public transportation?
[332] Sidewalk Blocks Repaired | pub=City of Seattle | cols: Month, Accumulated number of sidewalk blocks  repaired  in 2016
[333] Pothole Repair Efficiency 2016 April Data TM | pub=City of Seattle | cols: % of Potholes Repaired within 3 Business Days, Month
[334] Crosswalks Re-marked | pub=City of Seattle | cols: Month, Accumulated number of crosswalks re-marked
[335] Bus Ridership ( In- Seattle - 2017 02) | pub=City of Seattle | cols: Reporting Period, In-Seattle Bus Ridership (Avg. Weekday Boardings)
[336] Advanced Signal Technology-2 | pub=City of Seattle | cols: Number of miles of advanced signal technology implemented on key arterials to date, Year
[337] Q2 2016 Update V2 CSB Telephone Response Time 60 Seconds Or Less 80  Of The TIme | pub=City of Seattle | cols: % , Quarter
[338] 4 - Plan And Design Bridges | pub=City of Seattle | cols: Month, Accumulated number of bridge seismic projects in planning
[339] Curb Ramps Built Or Improved | pub=City of Seattle | cols: Accumulated number of curb ramps built or improved, Month
