[876] NNDSS - TABLE 1U. Legionellosis to Listeriosis | pub=CDC | desc: NNDSS - TABLE 1U. Legionellosis to Listeriosis - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents. Note: This ta | cols: Leptospirosis, Cum 2019†, flag, Listeriosis, Cum 2019†, Listeriosis, Cum 2018†, Location 1 (city), Location 1 (state), Legionellosis, Cum 2018†, Legionellosis, Cum 2019†, Location 2 (zip), Location 2 (state), MMWR Year | tags: nedss, nndss, netss, wonder, legionellosis, leptospirosis
[888] NNDSS - TABLE 1KK. Vancomycin-resistant Staphylococcus aureus to Varicella morbidity | pub=CDC | desc: NNDSS - TABLE 1KK. Vancomycin-resistant Staphylococcus aureus to Varicella morbidity - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, | cols: Varicella morbidity, Current week, Varicella morbidity, Cum 2019†, Reporting Area Sort, Location 1 (state), Varicella morbidity, Cum 2018†, Varicella morbidity, Previous 52 weeks Max†, Reporting Area, Vancomycin-resistant Staphylococcus aureus, Cum 2018†, Vancomycin-resistant Staphylococcus aureus, Previous 52 weeks Max†, flag, MMWR Week | tags: nedss, varicella morbidity, nndss, netss, wonder, 2019
[889] NNDSS - Table 1E. Botulism, Foodborne to Botulism, Other (wound & unspecified) | pub=CDC | desc: NNDSS - Table 1E. Botulism, Foodborne to Botulism, Other (wound & unspecified) - 2020. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and N | cols: Botulism, Other (wound and unspecified), Cum 2019†, flag, Counties, States, Botulism, Infant, Current week, Botulism, Foodborne, Cum 2020†, flag, Botulism, Infant, Previous 52 weeks Max†, Botulism, Other (wound and unspecified), Current week, flag, Botulism, Foodborne, Previous 52 weeks Max†, Botulism, Infant, Previous 52 weeks Max†, flag, Botulism, Other (wound and unspecified), Previous 52 weeks Max† | tags: nndss, netss, nedss, infant, 2020, botulism
[890] NNDSS - TABLE 1LL. Vibriosis, Confirmed to Vibriosis, Probable | pub=CDC | desc: NNDSS - TABLE 1LL. Vibriosis, Confirmed to Vibriosis, Probable – 2020. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. resident | cols: States, MMWR Year, Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Previous 52 weeks Max†, flag, Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Current week, flag, Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2020†, Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2019†, Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2019†, flag, MMWR Week, Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Current week, flag, Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Current week | tags: nedss, 2020, probable, nndss, netss, wonder
[891] NNDSS - TABLE 1HH. Streptococcal toxic shock syndrome to Syphilis, Primary and Secondary | pub=CDC | desc: NNDSS - TABLE 1HH. Streptococcal toxic shock syndrome to Syphilis, Primary and Secondary - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territor | cols: Location 1 (state), Location 2 (address), Location 1 (address), MMWR Year, Syphilis, Congenital, Current week, Streptococcal toxic shock syndrome, Cum 2019†, flag, Syphilis, Congenital, Cum 2019†, flag, Location 2 (city), Reporting Area, Streptococcal toxic shock syndrome, Current week | tags: syphilis, 2019, streptococcal toxic shock syndrome, primary and secondary, nndss, netss
[893] NNDSS - TABLE 1MM. Viral hemorrhagic fevers, Crimean-Congo hemorrhagic fever virus to Guanarito viru | pub=CDC | desc: NNDSS - TABLE 1MM. Viral hemorrhagic fevers, Crimean-Congo hemorrhagic fever virus to Guanarito virus - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States,  | cols: Location 2 (address), Location 2 (city), Reporting Area, MMWR Week, Location 1 (address), Location 2 (state), Viral hemorrhagic fevers§, Crimean-Congo hemorrhagic fever virus, Cum 2018†, flag, Viral hemorrhagic fevers§, Crimean-Congo hemorrhagic fever virus, Cum 2018†, Viral hemorrhagic fevers§, Ebola virus, Current week, flag, Viral hemorrhagic fevers§, Crimean-Congo hemorrhagic fever virus, Current week | tags: viral hemorrhagic fevers, 2019, crimean-congo hemorrhagic fever virus, ebola virus, guanarito virus, nedss
[894] NNDSS - TABLE 1L. Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection to Giardiasis | pub=CDC | desc: NNDSS - TABLE 1L. Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection to Giardiasis - 2021. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territ | cols: Location 2, Location 1, Giardiasis, Cum 2020†, Giardiasis, Current week, Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis, Cum 2021†, Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Cum 2020†, flag, Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Cum 2020†, Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Cum 2021†, flag, Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Previous 52 weeks Max†, Reporting Area | tags: wonder, ehrlichiosis and anaplasmosis, undetermined ehrlichiosis/anaplasmosis, nndss, netss, nedss
[895] NNDSS - Table 1B. Arboviral diseases, Jamestown Canyon to Powassan | pub=CDC | desc: NNDSS - Table 1B. Arboviral diseases, neuroinvasive and non-neuroinvasive, Jamestown Canyon virus disease to Powassan virus disease - 2019. In this Table, provisional cases* of notifiable diseases are | cols: Arboviral diseases, neuroinvasive and non-neuroinvasive,  La Crosse virus disease, Cum 2018†, flag, Arboviral diseases, neuroinvasive and non-neuroinvasive, Powassan virus disease, Cum 2018†, flag, Arboviral diseases, neuroinvasive and non-neuroinvasive,  La Crosse virus disease, Previous 52 weeks Max†, flag, Arboviral diseases, neuroinvasive and non-neuroinvasive,  La Crosse virus disease, Cum 2019†, flag, Location 1 (state), Arboviral diseases, neuroinvasive and non-neuroinvasive, La Crosse virus disease, Current week, Arboviral diseases, neuroinvasive and non-neuroinvasive, La Crosse virus disease, Previous 52 weeks Max†, Arboviral diseases, neuroinvasive and non-neuroinvasive, Powassan virus disease, Current week, flag, Arboviral diseases, neuroinvasive and non-neuroinvasive, Powassan virus disease, Previous 52 weeks Max†, Location 1 | tags: nndss, wonder, arboviral diseases, 2019, jamestown canyon virus disease, la crosse virus disease
[896] NNDSS - TABLE 1T. Invasive pneumococcal disease, Age<5 years, Confirmed to Legionellosis | pub=CDC | desc: NNDSS - TABLE 1T. Invasive pneumococcal disease, age<5 years, Confirmed to Legionellosis - 2020. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territor | cols: Invasive pneumococcal disease, age < 5 years§, Confirmed, Current week, flag, Legionellosis, Current week, Legionellosis, Previous 52 weeks Max†, flag, Legionellosis, Cum 2020†, Legionellosis, Cum 2020†, flag, Invasive pneumococcal disease, age < 5 years§, Confirmed, Previous 52 weeks Max†, flag, Location 2, Invasive pneumococcal disease, age < 5 years§, Probable, Current week, flag, Invasive pneumococcal disease, age < 5 years§, Probable, Previous 52 weeks Max†, flag, Invasive pneumococcal disease, age < 5 years§, Probable,  Cum 2020† | tags: 2020, wonder, probable, nndss, netss, nedss
[897] NNDSS - TABLE 1D. Arboviral diseases, West Nile virus to Babesiosis | pub=CDC | desc: NNDSS - Table 1D. Arboviral diseases, neuroinvasive and non-neuroinvasive, West Nile virus disease to Babesiosis - 2019.In this Table, provisional cases* of notifiable diseases are displayed for Unite | cols: Location 1 (state), Location 2 (city), Location 1 (address), Location 2 (address), Arboviral diseases, neuroinvasive and non-neuroinvasive, West Nile virus disease, Current week, Location 2, Arboviral diseases, neuroinvasive and non-neuroinvasive, West Nile virus disease, Cum 2018†, Babesiosis, Previous 52 weeks Max†, Babesiosis, Cum 2019†, Reporting Area | tags: 2019, babesiosis, arboviral diseases, netss, nedss, west nile virus disease
[898] NNDSS - TABLE 1II. Tetanus to Trichinellosis | pub=CDC | desc: NNDSS - TABLE 1II. Tetanus to Trichinellosis – 2021. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents. Notice: Due to  | cols: Toxic shock snydrome (other than Streptococcal), Cum 2021†, flag, Tetanus, Cum 2020†, flag, Tetanus, Current week, flag, Tetanus, Current week, Toxic shock snydrome (other than Streptococcal), Current week, Toxic shock snydrome (other than Streptococcal), Previous 52 weeks Max†, Trichinellosis, Current week, Tetanus, Cum 2021†, flag, MMWR Year, Toxic shock snydrome (other than Streptococcal), Cum 2021† | tags: 2021, nndss, netss, wonder, trichinellosis, toxic shock syndrome (other than streptococcal)
[900] NNDSS - TABLE 1H. Cholera to Coccidioidomycosis | pub=CDC | desc: NNDSS - Table 1H. Cholera to Coccidioidomycosis - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents. Note: This t | cols: Cholera, Cum 2018†, Coccidioidomycosis, Current week, flag, Coccidioidomycosis, Previous 52 weeks Max†, flag, Coccidioidomycosis, Cum 2019†, flag, Location 2 (zip), Location 1 (address), MMWR Year, Cholera, Previous 52 weeks Max†, flag, Coccidioidomycosis, Cum 2018†, flag, Reporting Area | tags: wonder, 2019, cholera, coccidioidomycosis, nedss, netss
[903] NNDSS - TABLE 1R. Hepatitis C, perinatal infection to Influenza-associated pediatric mortality | pub=CDC | desc: NNDSS - TABLE 1R. Hepatitis C, perinatal infection to Influenza-associated pediatric mortality - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. te | cols: Location 2 (city), Location 1 (zip), MMWR Year, Hepatitis C, perinatal infection, Cum 2019†, flag, Hepatitis C, perinatal infection, Cum 2018†, flag, Hepatitis C, perinatal infection, Current week, Influenza-associated pediatric mortality§, Current week, Location 1, Location 1 (address), Location 1 (city) | tags: hepatitis c, influenza-associated pediatric mortality, nedss, netss, nndss, perinatal infection
[905] NNDSS - TABLE 1L. Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection to Giardiasis | pub=CDC | desc: NNDSS - TABLE 1L. Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection to Giardiasis - 2020. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territ | cols: Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Previous 52 weeks Max†, Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Cum 2020†, flag, Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis, Current week, New Georeferenced Column, States, Counties, Location 1, Giardiasis, Current week, flag, Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Current week, flag, Giardiasis, Current week | tags: 2020, ehrlichia ewingii infection, ehrlichiosis and anaplasmosis, nedss, wonder, giardiasis
[906] NNDSS - TABLE 1BB. Q fever, Total to Q fever, Chronic | pub=CDC | desc: NNDSS - TABLE 1BB. Q fever, Total to Q fever, Chronic - 2020. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents. Note:  | cols: Q fever, Total, Cum 2019†, Reporting Area Sort, Location 2, Location 1, Q fever, Chronic, Cum 2019†, Q fever, Chronic, Current week, Q fever, Acute, Cum 2019†, Q fever, Acute, Cum 2020†, Q fever, Total, Cum 2020†, Q fever, Total, Previous 52 weeks Max† | tags: nedss, wonder, acute, 2020, netss, nndss
[908] NNDSS - TABLE 1Z. Pertussis to Poliomyelitis, paralytic | pub=CDC | desc: NNDSS - TABLE 1Z. Pertussis to Poliomyelitis, paralytic - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents. Note | cols: Location 1 (state), Location 1 (zip), Plague, Current week, Poliomyelitis, paralytic, Current week, flag, Poliomyelitis, paralytic, Previous 52 weeks Max†, flag, Plague, Cum 2019†, flag, Plague, Cum 2019†, Reporting Area Sort, Location 1 (address), Location 1 | tags: netss, nedss, 2019, poliomyelitis, wonder, plague
[909] NNDSS - TABLE 1S. Invasive pneumococcal disease, all ages, Confirmed to Invasive pneumococcal diseas | pub=CDC | desc: NNDSS - TABLE 1S. Invasive pneumococcal disease, all ages, Confirmed to Invasive pneumococcal disease, all ages, Probable - 2019. In this Table, provisional cases* of notifiable diseases are displayed | cols: Invasive pneumococcal disease, all ages§, Confirmed, Current week, Invasive pneumococcal disease, all ages§, Confirmed, Cum 2018†, flag, Invasive pneumococcal disease, all ages§, Probable, Cum 2018†, flag, Location 1 (address), Location 2, Invasive pneumococcal disease, all ages§, Probable,  Cum 2019†, flag, Location 2 (address), Invasive pneumococcal disease, all ages§, Confirmed, Previous 52 weeks Max†, flag, Invasive pneumococcal disease, all ages§, Confirmed, Cum 2019†, flag, Location 2 (zip) | tags: all ages, 2019, confirmed, invasive pneumococcal disease, nedss, netss
[910] NNDSS - TABLE 1U. Leptospirosis to Listeriosis, Probable | pub=CDC | desc: NNDSS - TABLE 1U. Leptospirosis to Listeriosis, Probable - 2022. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents. Not | cols: Listeriosis§, Confirmed, Cum 2022†, flag, Listeriosis§, Confirmed, Current week, flag, Leptospirosis, Previous 52 weeks Max†, Leptospirosis, Cum 2021†, Leptospirosis, Cum 2021†, flag, Listeriosis§, Probable, Current week, Listeriosis§, Confirmed, Cum 2021†, Listeriosis§, Confirmed, Previous 52 weeks Max†, Leptospirosis, Current week, MMWR Week | tags: nndss, netss, 2022, confirmed, leptospirosis, listeriosis
[911] NNDSS - Table 1E. Botulism, Foodborne to Botulism, Other (wound & unspecified) | pub=CDC | desc: NNDSS - Table 1E. Botulism, Foodborne to Botulism, Other (wound & unspecified) - 2022. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and N | cols: Botulism, Infant, Current week, flag, MMWR Week, Botulism, Foodborne, Current week, Botulism, Foodborne, Cum 2022†, flag, Botulism, Foodborne, Cum 2021†, flag, Botulism, Infant, Previous 52 weeks Max†, Botulism, Infant, Cum 2022†, flag, Botulism, Other (wound and unspecified), Current week, Botulism, Other (wound and unspecified), Current week, flag, Botulism, Other (wound and unspecified), Previous 52 weeks Max† | tags: nndss, other (wound & unspecified), wonder, 2022, botulism, foodborne
[912] NNDSS - Table 1I. Cryptosporidiosis to Cyclosporiasis | pub=CDC | desc: NNDSS - Table 1I. Cryptosporidiosis to Cyclosporiasis - 2020. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents. Note:  | cols: Cryptosporidiosis, Current week, flag, Reporting Area Sort, Location 2, Cyclosporiasis, Cum 2019†, Cyclosporiasis, Cum 2020†, Reporting Area, Cryptosporidiosis, Current week, New Georeferenced Column, Cryptosporidiosis, Cum 2020†, flag, Cryptosporidiosis, Previous 52 weeks Max† | tags: nndss, netss, nedss, cyclosporiasis, cryptosporidiosis, 2020
[913] Stroke Mortality Data Among US Adults (35+) by State/Territory and County – 2016-2018 | pub=CDC Division for Heart Disease and Stroke Preventi | desc: 2016 to 2018, 3-year average. Rates are age-standardized. County rates are spatially smoothed. The data can be viewed by sex and race/ethnicity. Data source: National Vital Statistics System. Addition | cols: LocationDesc, Topic, Class, X_lon, Y_lat, TopicID, Stratification2, Data_Value_Type, DataSource, LocationAbbr | tags: county, counties, stroke, cerebrovascular disease, cardiovascular disease, cardiovascular
[914] NNDSS - TABLE 1F. Brucellosis to Candida auris, clinical | pub=CDC | desc: NNDSS - Table 1F. Brucellosis to Candida auris, clinical - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents. Not | cols: MMWR Week, Brucellosis, Cum 2018†, Campylobacteriosis, Current week, Campylobacteriosis, Previous 52 weeks Max†, Campylobacteriosis, Cum 2019†, Campylobacteriosis, Cum 2018†, Location 1 (state), Campylobacteriosis, Current week, flag, Location 1 (address), Location 1 (zip) | tags: wonder, 2019, brucellosis, campylobacteriosis, candida auris, clinical
[915] NNDSS - Table 1B. Arboviral diseases, neuroinvasive and non-neuroinvasive, Jamestown Canyon virus di | pub=CDC | desc: NNDSS - Table 1B. Arboviral diseases, neuroinvasive and non-neuroinvasive, Jamestown Canyon virus disease to Powassan virus disease - 2019. In this Table, provisional cases* of notifiable diseases are | cols: Arboviral diseases, neuroinvasive and non-neuroinvasive,  La Crosse virus disease, Previous 52 weeks Max†, flag, Reporting Area Sort, Location 2 (zip), Arboviral diseases, neuroinvasive and non-neuroinvasive, Powassan virus disease, Cum 2018†, Arboviral diseases, neuroinvasive and non-neuroinvasive, Powassan virus disease, Cum 2019†, Arboviral diseases, neuroinvasive and non-neuroinvasive, Powassan virus disease, Previous 52 weeks Max†, Arboviral diseases, neuroinvasive and non-neuroinvasive, La Crosse virus disease, Cum 2018†, Arboviral diseases, neuroinvasive and non-neuroinvasive,  La Crosse virus disease, Cum 2019†, Arboviral diseases, neuroinvasive and non-neuroinvasive, La Crosse virus disease, Previous 52 weeks Max†, Arboviral diseases, neuroinvasive and non-neuroinvasive, Jamestown Canyon virus disease, Cum 2018†, flag | tags: 2019, wonder, powassan virus disease, nndss, netss, nedss
[916] NNDSS - TABLE 1LL. Vibriosis, Confirmed to Vibriosis, Probable | pub=CDC | desc: NNDSS - TABLE 1LL. Vibriosis, Confirmed to Vibriosis, Probable – 2021. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. resident | cols: States, Reporting Area, Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Previous 52 weeks Max†, flag, Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2021†, Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2020†, Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2021†, flag, Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2020†, MMWR Year, MMWR Week, Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2021†, flag | tags: wonder, vibriosis, probable, nndss, 2021, confirmed
[917] NNDSS - TABLE 1PP. Yellow fever to Zika virus disease, non-congenital | pub=CDC | desc: NNDSS - TABLE 1PP. Yellow fever to Zika virus disease, non-congenital - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. r | cols: Yellow fever, Cum 2018†, MMWR Year, Yellow fever, Previous 52 weeks Max†, flag, Zika virus disease, non-congenital, Current week, Location 1 (zip), Location 1 (city), Location 2 (city), Location 2 (zip), Location 2 (state), Zika virus disease, non-congenital, Cum 2018†, flag | tags: zika virus disease, yellow fever, wonder, non-congenital, nndss, 2019
